a,replicate,gen,num_dd, num_dwt,num_d_alleles,d_fitness, popsize
0.0586,0,-1,1613,0,3226,1742.04,27920
0.0586,0,0,1255,717,3227,1656.54,27121
0.0586,0,1,1136,879,3151,1596.06,26146
0.0586,0,2,1062,1026,3150,1577.88,25812
0.0586,0,3,1017,1045,3079,1537.26,25798
0.0586,0,4,927,1253,3107,1527.42,25787
0.0586,0,5,931,1212,3074,1514.52,25450
0.0586,0,6,877,1271,3025,1480.98,25594
0.0586,0,7,748,1345,2841,1372.74,25214
0.0586,0,8,716,1428,2860,1373.04,25111
0.0586,0,9,682,1478,2842,1357.32,25167
0.0586,0,10,622,1413,2657,1265.22,25038
0.0586,0,11,622,1459,2703,1284.54,25339
0.0586,0,12,614,1454,2682,1273.8,25242
0.0586,0,13,577,1479,2633,1244.34,25145
0.0586,0,14,562,1575,2699,1268.46,25236
0.0586,0,15,526,1586,2638,1234.2,25410
0.0586,0,16,492,1496,2480,1159.68,25246
0.0586,0,17,431,1519,2381,1103.46,25440
0.0586,0,18,410,1503,2323,1074.06,25804
0.0586,0,19,385,1500,2270,1045.8,25293
0.0586,0,20,380,1407,2167,1001.34,24998
0.0586,0,21,330,1294,1954,899.88,25200
0.0586,0,22,308,1305,1921,880.74,25037
0.0586,0,23,305,1248,1858,853.56,24749
0.0586,0,24,275,1219,1769,808.98,25132
0.0586,0,25,214,1218,1646,742.68,25125
0.0586,0,26,178,1193,1549,693.3,25031
0.0586,0,27,162,1045,1369,613.86,24912
0.0586,0,28,121,957,1199,532.62,24865
0.0586,0,29,116,933,1165,517.14,25170
0.0586,0,30,98,858,1054,466.2,25067
0.0586,0,31,83,841,1007,442.86,24878
0.0586,0,32,55,761,871,379.02,25284
0.0586,0,33,41,720,802,346.68,25133
0.0586,0,34,52,617,721,315.3,25441
0.0586,0,35,36,569,641,277.86,25530
0.0586,0,36,27,487,541,233.7,25114
0.0586,0,37,13,434,460,196.32,24834
0.0586,0,38,14,359,387,165.9,25123
0.0586,0,39,9,342,360,153.36,25182
0.0586,0,40,10,301,321,137.22,25747
0.0586,0,41,2,258,262,110.52,25703
0.0586,0,42,3,240,246,104.04,25974
0.0586,0,43,6,210,222,94.68,26232
0.0586,0,44,1,179,181,76.26,25800
0.0586,0,45,4,124,132,56.4,25893
0.0586,0,46,0,118,118,49.56,25939
0.0586,0,47,1,86,88,37.2,25869
0.0586,0,48,0,74,74,31.08,25798
0.0586,0,49,0,61,61,25.62,25729
0.0586,0,50,0,42,42,17.64,25613
0.0586,0,51,0,34,34,14.28,25362
0.0586,0,52,0,40,40,16.8,25557
0.0586,0,53,0,27,27,11.34,25607
0.0586,0,54,0,28,28,11.76,25674
0.0586,0,55,0,24,24,10.08,25132
0.0586,0,56,0,17,17,7.14,25751
0.0586,0,57,0,18,18,7.56,25648
0.0586,0,58,0,18,18,7.56,25715
0.0586,0,59,0,10,10,4.2,25865
0.0586,0,60,0,8,8,3.36,25973
0.0586,0,61,0,5,5,2.1,25822
0.0586,0,62,0,4,4,1.68,25643
0.0586,0,63,0,4,4,1.68,26016
0.0586,0,64,0,3,3,1.26,25889
0.0586,0,65,0,2,2,0.84,25635
0.0586,0,66,0,2,2,0.84,25595
0.0586,0,67,0,5,5,2.1,25540
0.0586,0,68,0,5,5,2.1,25756
0.0586,0,69,0,2,2,0.84,26188
0.0586,0,70,0,8,8,3.36,25726
0.0586,0,71,0,2,2,0.84,25504
0.0586,0,72,0,3,3,1.26,25105
0.0586,0,73,0,2,2,0.84,25318
0.0586,0,74,0,0,0,0.0,25562
0.0586,1,-1,1628,0,3256,1758.24,27774
0.0586,1,0,1326,608,3260,1687.44,27119
0.0586,1,1,1050,902,3002,1512.84,26055
0.0586,1,2,1072,1065,3209,1605.06,25878
0.0586,1,3,945,1102,2992,1483.44,25266
0.0586,1,4,886,1205,2977,1462.98,25433
0.0586,1,5,916,1283,3115,1528.14,25423
0.0586,1,6,959,1322,3240,1590.96,25491
0.0586,1,7,871,1354,3096,1509.36,25314
0.0586,1,8,911,1362,3184,1555.92,25354
0.0586,1,9,876,1441,3193,1551.3,25428
0.0586,1,10,859,1478,3196,1548.48,25643
0.0586,1,11,874,1531,3279,1586.94,25796
0.0586,1,12,850,1546,3246,1567.32,25560
0.0586,1,13,864,1501,3229,1563.54,25516
0.0586,1,14,785,1459,3029,1460.58,25284
0.0586,1,15,727,1422,2876,1382.4,25056
0.0586,1,16,711,1459,2881,1380.66,25113
0.0586,1,17,668,1506,2842,1353.96,25276
0.0586,1,18,610,1499,2719,1288.38,25491
0.0586,1,19,603,1531,2737,1294.26,25425
0.0586,1,20,543,1562,2648,1242.48,25723
0.0586,1,21,486,1496,2468,1153.2,25391
0.0586,1,22,478,1540,2496,1163.04,25512
0.0586,1,23,456,1512,2424,1127.52,25399
0.0586,1,24,430,1507,2367,1097.34,25194
0.0586,1,25,424,1471,2319,1075.74,25301
0.0586,1,26,401,1432,2234,1034.52,25262
0.0586,1,27,384,1387,2155,997.26,25201
0.0586,1,28,352,1383,2087,961.02,25138
0.0586,1,29,319,1331,1969,903.54,24987
0.0586,1,30,293,1370,1956,891.84,25022
0.0586,1,31,258,1290,1806,820.44,25152
0.0586,1,32,195,1272,1662,744.84,25801
0.0586,1,33,152,1195,1499,666.06,25436
0.0586,1,34,130,1109,1369,606.18,25202
0.0586,1,35,106,983,1195,527.34,25156
0.0586,1,36,107,900,1114,493.56,25146
0.0586,1,37,79,796,954,419.64,25329
0.0586,1,38,56,751,863,375.9,25546
0.0586,1,39,41,683,765,331.14,25090
0.0586,1,40,29,624,682,293.4,25460
0.0586,1,41,30,614,674,290.28,25802
0.0586,1,42,27,510,564,243.36,25898
0.0586,1,43,23,445,491,211.74,25857
0.0586,1,44,11,455,477,202.98,25893
0.0586,1,45,15,400,430,184.2,25954
0.0586,1,46,10,358,378,161.16,25591
0.0586,1,47,7,327,341,144.9,25428
0.0586,1,48,6,292,304,129.12,25705
0.0586,1,49,7,229,243,103.74,25976
0.0586,1,50,1,188,190,80.04,25677
0.0586,1,51,0,132,132,55.44,25461
0.0586,1,52,0,126,126,52.92,24913
0.0586,1,53,0,102,102,42.84,25365
0.0586,1,54,0,93,93,39.06,25580
0.0586,1,55,1,79,81,34.26,25969
0.0586,1,56,0,58,58,24.36,26390
0.0586,1,57,0,44,44,18.48,26333
0.0586,1,58,0,43,43,18.06,25973
0.0586,1,59,0,48,48,20.16,26105
0.0586,1,60,0,57,57,23.94,25636
0.0586,1,61,0,52,52,21.84,26012
0.0586,1,62,0,40,40,16.8,25739
0.0586,1,63,0,35,35,14.7,25905
0.0586,1,64,1,31,33,14.1,25773
0.0586,1,65,0,22,22,9.24,25789
0.0586,1,66,0,15,15,6.3,25901
0.0586,1,67,0,23,23,9.66,25850
0.0586,1,68,0,18,18,7.56,25973
0.0586,1,69,0,10,10,4.2,25826
0.0586,1,70,0,6,6,2.52,25601
0.0586,1,71,0,5,5,2.1,25931
0.0586,1,72,0,4,4,1.68,26182
0.0586,1,73,0,2,2,0.84,25523
0.0586,1,74,0,2,2,0.84,25291
0.0586,1,75,0,2,2,0.84,25416
0.0586,1,76,0,3,3,1.26,25329
0.0586,1,77,0,4,4,1.68,25358
0.0586,1,78,0,4,4,1.68,25384
0.0586,1,79,0,6,6,2.52,25779
0.0586,1,80,0,9,9,3.78,25616
0.0586,1,81,0,2,2,0.84,24940
0.0586,1,82,0,3,3,1.26,25374
0.0586,1,83,0,0,0,0.0,25596
0.0586,2,-1,1557,0,3114,1681.56,28340
0.0586,2,0,1218,695,3131,1607.34,27272
0.0586,2,1,1074,826,2974,1506.84,26413
0.0586,2,2,964,1014,2942,1467.0,25966
0.0586,2,3,913,1116,2942,1454.76,26194
0.0586,2,4,904,1142,2950,1455.96,26151
0.0586,2,5,820,1250,2890,1410.6,25829
0.0586,2,6,825,1192,2842,1391.64,25353
0.0586,2,7,760,1336,2856,1381.92,25160
0.0586,2,8,757,1372,2886,1393.8,25263
0.0586,2,9,721,1318,2760,1332.24,25053
0.0586,2,10,725,1313,2763,1334.46,24921
0.0586,2,11,663,1428,2754,1315.8,25296
0.0586,2,12,650,1425,2725,1300.5,25330
