a,replicate,gen,num_dd, num_dwt,num_d_alleles,d_fitness, popsize
0.25,0,-1,7017,0,14034,7578.36,28029
0.25,0,0,6660,782,14102,7521.24,27229
0.25,0,1,6486,952,13924,7404.72,26635
0.25,0,2,6491,1112,14094,7477.32,26622
0.25,0,3,6418,1180,14016,7427.04,26019
0.25,0,4,6610,1321,14541,7693.62,26288
0.25,0,5,6612,1414,14638,7734.84,26282
0.25,0,6,6565,1480,14610,7711.8,26609
0.25,0,7,6832,1537,15201,8024.1,26873
0.25,0,8,6790,1552,15132,7985.04,26365
0.25,0,9,6494,1577,14565,7675.86,25883
0.25,0,10,6459,1576,14494,7637.64,25764
0.25,0,11,6462,1683,14607,7685.82,25779
0.25,0,12,6726,1676,15128,7968.0,25771
0.25,0,13,6849,1646,15344,8088.24,25908
0.25,0,14,6993,1563,15549,8208.9,26055
0.25,0,15,6873,1602,15348,8095.68,25708
0.25,0,16,7144,1611,15899,8392.14,25834
0.25,0,17,7312,1445,16069,8503.86,25854
0.25,0,18,7260,1597,16117,8511.54,25753
0.25,0,19,7532,1683,16747,8841.42,26241
0.25,0,20,7444,1698,16586,8752.68,26097
0.25,0,21,7506,1729,16741,8832.66,26184
0.25,0,22,7536,1619,16691,8818.86,25982
0.25,0,23,7747,1629,17123,9050.94,26192
0.25,0,24,8033,1686,17752,9383.76,26748
0.25,0,25,8017,1700,17734,9372.36,26406
0.25,0,26,8167,1671,18005,9522.18,26511
0.25,0,27,8076,1737,17889,9451.62,26485
0.25,0,28,8085,1694,17864,9443.28,26021
0.25,0,29,8173,1684,18030,9534.12,26257
0.25,0,30,8043,1636,17722,9373.56,26132
0.25,0,31,8193,1662,18048,9546.48,26110
0.25,0,32,8385,1584,18354,9721.08,26314
0.25,0,33,8510,1689,18709,9900.18,26405
0.25,0,34,8676,1783,19135,10118.9,26747
0.25,0,35,8625,1732,18982,10042.4,26459
0.25,0,36,8838,1739,19415,10275.4,26757
0.25,0,37,8700,1705,19105,10112.1,26767
0.25,0,38,8779,1629,19187,10165.5,26110
0.25,0,39,8839,1593,19271,10215.2,26361
0.25,0,40,8987,1563,19537,10362.4,26381
0.25,0,41,8922,1639,19483,10324.1,26282
0.25,0,42,8914,1654,19482,10321.8,26082
0.25,0,43,8751,1656,19158,10146.6,25962
0.25,0,44,8875,1761,19511,10324.6,26136
0.25,0,45,9078,1792,19948,10556.9,26194
0.25,0,46,9342,1808,20492,10848.7,26453
0.25,0,47,9241,1728,20210,10706.0,26291
