a,replicate,gen,num_dd, num_dwt,num_d_alleles,d_fitness, popsize
0.1,0,-1,2767,0,5534,2988.36,27959
0.1,0,0,2483,617,5583,2940.78,26792
0.1,0,1,2287,851,5425,2827.38,26473
0.1,0,2,2269,1059,5597,2895.3,26224
0.1,0,3,2244,1184,5672,2920.8,26050
0.1,0,4,2212,1221,5645,2901.78,26198
0.1,0,5,2205,1269,5679,2914.38,25789
0.1,0,6,2143,1301,5587,2860.86,25431
0.1,0,7,2177,1391,5745,2935.38,25766
0.1,0,8,2303,1410,6016,3079.44,25420
0.1,0,9,2325,1577,6227,3173.34,25759
0.1,0,10,2397,1683,6477,3295.62,25897
0.1,0,11,2406,1653,6465,3292.74,25404
0.1,0,12,2303,1650,6256,3180.24,25611
0.1,0,13,2375,1587,6337,3231.54,25780
0.1,0,14,2465,1616,6546,3340.92,25816
0.1,0,15,2431,1667,6529,3325.62,26007
0.1,0,16,2352,1673,6377,3242.82,25902
0.1,0,17,2479,1695,6653,3389.22,25616
0.1,0,18,2355,1664,6374,3242.28,25511
0.1,0,19,2416,1691,6523,3319.5,25503
0.1,0,20,2584,1671,6839,3492.54,25487
0.1,0,21,2561,1758,6880,3504.24,25396
0.1,0,22,2594,1780,6968,3549.12,25419
0.1,0,23,2520,1692,6732,3432.24,25352
0.1,0,24,2607,1662,6876,3513.6,25713
0.1,0,25,2590,1750,6930,3532.2,25811
0.1,0,26,2627,1761,7015,3576.78,25582
0.1,0,27,2823,1716,7362,3769.56,25929
0.1,0,28,2934,1774,7642,3913.8,25944
0.1,0,29,2986,1750,7722,3959.88,26101
0.1,0,30,2958,1761,7677,3934.26,25819
0.1,0,31,2928,1769,7625,3905.22,25313
0.1,0,32,3035,1696,7766,3990.12,25207
0.1,0,33,3185,1759,8129,4178.58,25142
0.1,0,34,3192,1816,8200,4210.08,25492
0.1,0,35,3387,1717,8491,4379.1,25577
0.1,0,36,3448,1765,8661,4465.14,25655
0.1,0,37,3470,1769,8709,4490.58,26013
0.1,0,38,3506,1730,8742,4513.08,26002
0.1,0,39,3519,1673,8711,4503.18,25975
0.1,0,40,3415,1778,8608,4434.96,25344
0.1,0,41,3500,1676,8676,4483.92,25669
0.1,0,42,3559,1787,8905,4594.26,25348
0.1,0,43,3654,1712,9020,4665.36,25234
0.1,0,44,3653,1744,9050,4677.72,25480
0.1,0,45,3854,1761,9469,4901.94,25909
0.1,0,46,3880,1684,9444,4897.68,25976
0.1,0,47,3871,1670,9412,4882.08,25577
0.1,0,48,3826,1624,9276,4814.16,25453
0.1,0,49,3882,1630,9394,4877.16,25098
0.1,0,50,3934,1610,9478,4924.92,25260
0.1,0,51,4093,1705,9891,5136.54,25482
0.1,0,52,4350,1587,10287,5364.54,25822
0.1,0,53,4440,1650,10530,5488.2,25913
0.1,0,54,4516,1744,10776,5609.76,25883
0.1,0,55,4607,1702,10916,5690.4,26036
0.1,0,56,4612,1768,10992,5723.52,25700
0.1,0,57,4622,1694,10938,5703.24,25818
0.1,0,58,4818,1768,11404,5946.0,25849
0.1,0,59,5116,1748,11980,6259.44,26001
0.1,0,60,5070,1732,11872,6203.04,25850
0.1,0,61,5152,1700,12004,6278.16,25645
0.1,0,62,5076,1626,11778,6165.0,25797
0.1,0,63,5187,1716,12090,6322.68,25949
0.1,0,64,5218,1679,12115,6340.62,25723
0.1,0,65,5344,1713,12401,6490.98,25734
0.1,0,66,5470,1692,12632,6618.24,25995
0.1,0,67,5431,1619,12481,6545.46,25653
0.1,0,68,5654,1654,12962,6801.0,25681
0.1,0,69,5571,1734,12876,6744.96,25952
0.1,0,70,5688,1700,13076,6857.04,26211
0.1,0,71,5724,1794,13242,6935.4,25902
0.1,0,72,5867,1740,13474,7067.16,25889
0.1,0,73,5727,1790,13244,6936.96,25841
0.1,0,74,5955,1781,13691,7179.42,26260
0.1,0,75,6102,1795,13999,7344.06,26141
0.1,0,76,6060,1860,13980,7326.0,26387
0.1,0,77,6099,1802,14000,7343.76,26221
0.1,0,78,6060,1807,13927,7303.74,25913
0.1,0,79,6232,1754,14218,7467.24,25435
0.1,0,80,6196,1790,14182,7443.48,25613
0.1,0,81,6348,1871,14567,7641.66,25984
0.1,0,82,6468,1843,14779,7759.5,25954
0.1,0,83,6355,1964,14674,7688.28,26069
0.1,0,84,6542,1940,15024,7880.16,26383
0.1,0,85,6449,1798,14696,7720.08,26243
0.1,0,86,6395,1810,14600,7666.8,26176
0.1,0,87,6447,1889,14783,7756.14,26060
0.1,0,88,6598,1935,15131,7938.54,26129
0.1,0,89,6449,1782,14680,7713.36,25740
0.1,0,90,6619,1863,15101,7930.98,26108
0.1,0,91,6609,1825,15043,7904.22,26051
0.1,0,92,6846,1720,15412,8116.08,25898
0.1,0,93,7010,1635,15655,8257.5,26148
0.1,0,94,7131,1671,15933,8403.3,26524
0.1,0,95,7238,1651,16127,8510.46,26419
0.1,0,96,7127,1722,15976,8420.4,26372
0.1,0,97,7287,1744,16318,8602.44,26150
0.1,0,98,7116,1718,15950,8406.84,26005
0.1,0,99,7277,1798,16352,8614.32,26360
0.1,0,100,7303,1721,16327,8610.06,26095
