a,replicate,gen,num_dd, num_dwt,num_d_alleles,d_fitness, popsize
0.02,0,-1,542,0,1084,585.36,27838
0.02,0,0,197,514,908,428.64,26987
0.02,0,1,113,546,772,351.36,26110
0.02,0,2,81,553,715,319.74,25656
0.02,0,3,65,486,616,274.32,25602
0.02,0,4,41,447,529,232.02,25879
0.02,0,5,24,408,456,197.28,25872
0.02,0,6,14,338,366,157.08,25785
0.02,0,7,8,272,288,122.88,25646
0.02,0,8,5,253,263,111.66,25778
0.02,0,9,9,213,231,99.18,25847
0.02,0,10,4,171,179,76.14,25284
0.02,0,11,1,162,164,69.12,25450
0.02,0,12,1,145,147,61.98,25899
0.02,0,13,1,112,114,48.12,25673
0.02,0,14,1,92,94,39.72,25549
0.02,0,15,2,63,67,28.62,25517
0.02,0,16,0,68,68,28.56,25256
0.02,0,17,0,63,63,26.46,25350
0.02,0,18,0,53,53,22.26,25477
0.02,0,19,0,42,42,17.64,25446
0.02,0,20,2,34,38,16.44,26031
0.02,0,21,1,25,27,11.58,25746
0.02,0,22,0,29,29,12.18,25542
0.02,0,23,0,25,25,10.5,25409
0.02,0,24,0,18,18,7.56,25195
0.02,0,25,0,23,23,9.66,26012
0.02,0,26,0,24,24,10.08,25696
0.02,0,27,0,16,16,6.72,25324
0.02,0,28,1,15,17,7.38,25305
0.02,0,29,0,10,10,4.2,25775
0.02,0,30,0,15,15,6.3,25754
0.02,0,31,0,2,2,0.84,25366
0.02,0,32,0,5,5,2.1,24978
0.02,0,33,0,10,10,4.2,25941
0.02,0,34,0,14,14,5.88,25825
0.02,0,35,0,15,15,6.3,26036
0.02,0,36,0,13,13,5.46,25921
0.02,0,37,0,9,9,3.78,26313
0.02,0,38,0,6,6,2.52,26119
0.02,0,39,0,6,6,2.52,25849
0.02,0,40,0,7,7,2.94,25806
0.02,0,41,0,3,3,1.26,25939
0.02,0,42,0,1,1,0.42,26138
0.02,0,43,0,1,1,0.42,26107
0.02,0,44,0,2,2,0.84,25820
0.02,0,45,0,4,4,1.68,25982
0.02,0,46,0,4,4,1.68,25574
0.02,0,47,0,1,1,0.42,25449
0.02,0,48,0,2,2,0.84,24879
0.02,0,49,0,1,1,0.42,25286
0.02,0,50,0,1,1,0.42,25795
0.02,0,51,0,1,1,0.42,25452
0.02,0,52,0,1,1,0.42,25624
0.02,0,53,0,1,1,0.42,25657
0.02,0,54,0,0,0,0.0,25597
0.02,1,-1,546,0,1092,589.68,27841
0.02,1,0,228,532,988,469.68,26840
0.02,1,1,142,540,824,380.16,26148
0.02,1,2,89,538,716,322.08,25970
0.02,1,3,78,504,660,295.92,25701
0.02,1,4,56,508,620,273.84,25326
0.02,1,5,42,475,559,244.86,25536
