a,replicate,gen,num_dd, num_dwt,num_d_alleles,d_fitness, popsize
0.02,0,-1,567,0,1134,612.36,27462
0.02,0,0,254,552,1060,506.16,27242
0.02,0,1,148,528,824,381.6,26260
0.02,0,2,86,561,733,328.5,26291
0.02,0,3,61,499,621,275.46,25939
0.02,0,4,50,445,545,240.9,25770
0.02,0,5,30,423,483,210.06,25539
0.02,0,6,41,368,450,198.84,25632
0.02,0,7,12,365,389,166.26,25534
0.02,0,8,10,298,318,135.96,25538
0.02,0,9,5,273,283,120.06,25853
0.02,0,10,7,211,225,96.18,25870
0.02,0,11,2,190,194,81.96,25796
0.02,0,12,1,166,168,70.8,25827
0.02,0,13,3,130,136,57.84,25691
0.02,0,14,0,115,115,48.3,25435
0.02,0,15,2,90,94,39.96,25774
0.02,0,16,0,84,84,35.28,25178
0.02,0,17,0,76,76,31.92,25576
0.02,0,18,0,73,73,30.66,25869
0.02,0,19,0,61,61,25.62,26032
0.02,0,20,0,54,54,22.68,25932
0.02,0,21,0,39,39,16.38,25860
0.02,0,22,0,36,36,15.12,25803
0.02,0,23,0,39,39,16.38,25533
0.02,0,24,0,34,34,14.28,25562
0.02,0,25,0,29,29,12.18,25670
0.02,0,26,0,22,22,9.24,25849
0.02,0,27,0,17,17,7.14,26086
0.02,0,28,0,19,19,7.98,25757
0.02,0,29,0,23,23,9.66,26093
0.02,0,30,0,14,14,5.88,25754
0.02,0,31,0,14,14,5.88,26060
0.02,0,32,0,13,13,5.46,26475
0.02,0,33,0,12,12,5.04,26150
0.02,0,34,0,9,9,3.78,26474
0.02,0,35,0,5,5,2.1,26081
0.02,0,36,0,2,2,0.84,26009
0.02,0,37,0,4,4,1.68,26105
0.02,0,38,0,3,3,1.26,25491
0.02,0,39,0,1,1,0.42,25579
0.02,0,40,0,0,0,0.0,25217
0.02,1,-1,606,0,1212,654.48,28165
0.02,1,0,232,521,985,469.38,27181
0.02,1,1,165,582,912,422.64,26755
0.02,1,2,108,583,799,361.5,26083
0.02,1,3,90,540,720,324.0,25652
0.02,1,4,67,531,665,295.38,25326
0.02,1,5,45,540,630,275.4,25599
0.02,1,6,28,507,563,243.18,25783
0.02,1,7,20,393,433,186.66,25459
0.02,1,8,14,334,362,155.4,25733
0.02,1,9,6,261,273,116.1,25749
0.02,1,10,4,241,249,105.54,25924
0.02,1,11,3,219,225,95.22,25656
0.02,1,12,5,209,219,93.18,25297
0.02,1,13,0,177,177,74.34,25323
0.02,1,14,2,160,164,69.36,25176
0.02,1,15,3,151,157,66.66,25217
0.02,1,16,1,137,139,58.62,25346
0.02,1,17,0,117,117,49.14,25663
0.02,1,18,0,119,119,49.98,25829
0.02,1,19,0,115,115,48.3,25924
0.02,1,20,0,86,86,36.12,25853
0.02,1,21,0,60,60,25.2,25634
0.02,1,22,0,59,59,24.78,25889
0.02,1,23,0,45,45,18.9,25935
0.02,1,24,0,32,32,13.44,25986
0.02,1,25,0,24,24,10.08,25625
0.02,1,26,0,33,33,13.86,25662
0.02,1,27,0,19,19,7.98,25782
0.02,1,28,0,15,15,6.3,26013
0.02,1,29,0,12,12,5.04,25522
0.02,1,30,0,19,19,7.98,25664
0.02,1,31,0,10,10,4.2,25769
0.02,1,32,0,8,8,3.36,25464
0.02,1,33,0,12,12,5.04,25403
0.02,1,34,0,14,14,5.88,25661
0.02,1,35,0,16,16,6.72,26202
0.02,1,36,0,16,16,6.72,25784
0.02,1,37,1,16,18,7.8,25521
0.02,1,38,0,16,16,6.72,25642
0.02,1,39,0,19,19,7.98,25382
0.02,1,40,0,13,13,5.46,25762
0.02,1,41,0,7,7,2.94,25683
0.02,1,42,0,7,7,2.94,25574
0.02,1,43,0,7,7,2.94,25573
0.02,1,44,0,4,4,1.68,25756
