a,replicate,gen,num_dd, num_dwt,num_d_alleles,d_fitness, popsize
0.08,0,-1,2268,0,4536,2449.44,27469
0.08,0,0,1815,657,4287,2236.14,26401
0.08,0,1,1672,880,4224,2175.36,25851
0.08,0,2,1549,1037,4135,2108.46,25873
0.08,0,3,1585,1188,4358,2210.76,25604
0.08,0,4,1514,1251,4279,2160.54,25344
0.08,0,5,1453,1365,4271,2142.54,25183
0.08,0,6,1452,1466,4370,2183.88,25552
0.08,0,7,1335,1471,4141,2059.62,25254
0.08,0,8,1341,1492,4174,2074.92,25108
0.08,0,9,1298,1599,4195,2073.42,25480
0.08,0,10,1244,1629,4117,2027.7,25227
0.08,0,11,1183,1593,3959,1946.7,25104
0.08,0,12,1317,1734,4368,2150.64,25195
0.08,0,13,1282,1776,4340,2130.48,25437
0.08,0,14,1246,1731,4223,2072.7,25457
0.08,0,15,1321,1757,4399,2164.62,25073
0.08,0,16,1359,1716,4434,2188.44,25049
0.08,0,17,1387,1903,4677,2297.22,25256
0.08,0,18,1408,1773,4589,2265.3,25412
0.08,0,19,1363,1768,4494,2214.6,25073
0.08,0,20,1433,1805,4671,2305.74,25563
0.08,0,21,1470,1845,4785,2362.5,25325
0.08,0,22,1556,1788,4900,2431.44,25393
0.08,0,23,1625,1834,5084,2525.28,25541
0.08,0,24,1698,1860,5256,2615.04,25381
0.08,0,25,1645,1829,5119,2544.78,25219
0.08,0,26,1747,1736,5230,2615.88,25332
0.08,0,27,1725,1812,5262,2624.04,25133
0.08,0,28,1848,1795,5491,2749.74,25190
0.08,0,29,1817,1888,5522,2755.32,25274
0.08,0,30,1835,1815,5485,2744.1,25065
0.08,0,31,1851,1806,5508,2757.6,25220
0.08,0,32,1881,1915,5677,2835.78,25254
0.08,0,33,1979,1892,5850,2931.96,25102
0.08,0,34,2069,1834,5972,3004.8,25003
0.08,0,35,2081,1865,6027,3030.78,25350
0.08,0,36,2212,1927,6351,3198.3,25675
