a,replicate,gen,num_dd,num_dwt,d_fitness
0.02,0,0,560,0,604.8
0.02,0,1,231,564,486.36
0.02,0,2,169,610,438.72
0.02,0,3,147,595,408.66
0.02,0,4,87,611,350.58
0.02,0,5,56,629,324.66
0.02,0,6,49,500,262.92
0.02,0,7,46,511,264.3
0.02,0,8,35,495,245.7
0.02,0,9,24,432,207.36
0.02,0,10,20,380,181.2
0.02,0,11,5,334,145.68
0.02,0,12,10,280,128.4
0.02,0,13,8,235,107.34
0.02,0,14,9,221,102.54
0.02,0,15,0,204,85.68
0.02,0,16,2,197,84.9
0.02,0,17,0,179,75.18
0.02,0,18,0,118,49.56
0.02,0,19,1,132,56.52
0.02,0,20,0,104,43.68
0.02,0,21,0,105,44.1
0.02,0,22,0,99,41.58
0.02,0,23,0,78,32.76
0.02,0,24,0,64,26.88
0.02,0,25,0,76,31.92
0.02,0,26,0,58,24.36
0.02,0,27,0,47,19.74
0.02,0,28,1,37,16.62
0.02,0,29,1,30,13.68
0.02,0,30,0,25,10.5
0.02,0,31,0,21,8.82
0.02,0,32,0,18,7.56
0.02,0,33,0,18,7.56
0.02,0,34,0,14,5.88
0.02,0,35,0,12,5.04
0.02,0,36,0,10,4.2
0.02,0,37,0,14,5.88
0.02,0,38,0,7,2.94
0.02,0,39,0,13,5.46
0.02,0,40,0,12,5.04
0.02,0,41,0,8,3.36
0.02,0,42,0,4,1.68
0.02,0,43,0,2,0.84
0.02,0,44,0,2,0.84
0.02,0,45,0,0,0
0.02,1,0,529,0,571.32
0.02,1,1,275,469,493.98
0.02,1,2,149,620,421.32
0.02,1,3,113,632,387.48
0.02,1,4,123,585,378.54
0.02,1,5,83,602,342.48
0.02,1,6,59,538,289.68
0.02,1,7,37,471,237.78
0.02,1,8,33,431,216.66
0.02,1,9,22,398,190.92
0.02,1,10,17,330,156.96
0.02,1,11,22,278,140.52
0.02,1,12,13,270,127.44
0.02,1,13,7,258,115.92
0.02,1,14,9,214,99.6
0.02,1,15,2,215,92.46
0.02,1,16,6,205,92.58
0.02,1,17,2,167,72.3
0.02,1,18,2,164,71.04
0.02,1,19,0,152,63.84
0.02,1,20,1,126,54
0.02,1,21,0,101,42.42
0.02,1,22,2,80,35.76
0.02,1,23,2,62,28.2
0.02,1,24,0,41,17.22
0.02,1,25,0,33,13.86
0.02,1,26,0,25,10.5
0.02,1,27,0,18,7.56
0.02,1,28,1,13,6.54
0.02,1,29,0,9,3.78
0.02,1,30,0,10,4.2
0.02,1,31,0,3,1.26
0.02,1,32,0,0,0
0.02,2,0,526,0,568.08
0.02,2,1,180,513,409.86
0.02,2,2,123,560,368.04
0.02,2,3,113,601,374.46
0.02,2,4,104,571,352.14
0.02,2,5,63,584,313.32
0.02,2,6,54,538,284.28
0.02,2,7,31,513,248.94
0.02,2,8,35,445,224.7
0.02,2,9,25,406,197.52
0.02,2,10,13,374,171.12
0.02,2,11,9,312,140.76
0.02,2,12,3,260,112.44
0.02,2,13,5,230,102
0.02,2,14,5,220,97.8
0.02,2,15,2,206,88.68
0.02,2,16,1,161,68.7
0.02,2,17,1,159,67.86
0.02,2,18,6,132,61.92
0.02,2,19,1,120,51.48
0.02,2,20,3,89,40.62
0.02,2,21,0,82,34.44
0.02,2,22,0,45,18.9
0.02,2,23,0,46,19.32
0.02,2,24,0,27,11.34
0.02,2,25,0,26,10.92
0.02,2,26,0,22,9.24
0.02,2,27,0,18,7.56
0.02,2,28,0,15,6.3
0.02,2,29,0,7,2.94
0.02,2,30,0,6,2.52
0.02,2,31,0,6,2.52
0.02,2,32,0,8,3.36
0.02,2,33,0,6,2.52
0.02,2,34,0,6,2.52
0.02,2,35,0,6,2.52
0.02,2,36,0,4,1.68
0.02,2,37,0,4,1.68
0.02,2,38,0,1,0.42
0.02,2,39,0,0,0
0.02,3,0,499,0,538.92
0.02,3,1,197,527,434.1
0.02,3,2,149,557,394.86
0.02,3,3,122,560,366.96
0.02,3,4,87,625,356.46
0.02,3,5,77,551,314.58
0.02,3,6,53,512,272.28
0.02,3,7,29,463,225.78
0.02,3,8,20,373,178.26
0.02,3,9,14,313,146.58
0.02,3,10,10,306,139.32
0.02,3,11,9,304,137.4
0.02,3,12,14,239,115.5
0.02,3,13,11,215,102.18
0.02,3,14,9,204,95.4
0.02,3,15,3,196,85.56
0.02,3,16,3,152,67.08
0.02,3,17,1,110,47.28
0.02,3,18,0,109,45.78
0.02,3,19,1,89,38.46
0.02,3,20,4,86,40.44
0.02,3,21,1,54,23.76
0.02,3,22,1,41,18.3
0.02,3,23,0,45,18.9
0.02,3,24,0,35,14.7
0.02,3,25,0,27,11.34
0.02,3,26,0,20,8.4
0.02,3,27,0,12,5.04
0.02,3,28,0,13,5.46
0.02,3,29,0,10,4.2
0.02,3,30,0,5,2.1
0.02,3,31,0,5,2.1
0.02,3,32,0,3,1.26
0.02,3,33,0,5,2.1
0.02,3,34,0,4,1.68
0.02,3,35,0,4,1.68
0.02,3,36,0,0,0
0.02,4,0,507,0,547.56
0.02,4,1,236,477,455.22
0.02,4,2,135,560,381
0.02,4,3,106,560,349.68
0.02,4,4,56,573,301.14
0.02,4,5,46,535,274.38
0.02,4,6,41,486,248.4
0.02,4,7,32,422,211.8
0.02,4,8,17,446,205.68
0.02,4,9,24,419,201.9
0.02,4,10,10,367,164.94
0.02,4,11,5,309,135.18
0.02,4,12,7,265,118.86
0.02,4,13,9,249,114.3
0.02,4,14,3,201,87.66
0.02,4,15,4,153,68.58
0.02,4,16,3,126,56.16
0.02,4,17,1,127,54.42
0.02,4,18,0,109,45.78
0.02,4,19,1,97,41.82
0.02,4,20,0,74,31.08
0.02,4,21,0,72,30.24
0.02,4,22,0,58,24.36
0.02,4,23,0,39,16.38
0.02,4,24,0,38,15.96
0.02,4,25,1,30,13.68
0.02,4,26,0,22,9.24
0.02,4,27,0,13,5.46
0.02,4,28,0,23,9.66
0.02,4,29,0,19,7.98
0.02,4,30,0,12,5.04
0.02,4,31,0,8,3.36
0.02,4,32,0,3,1.26
0.02,4,33,0,1,0.42
0.02,4,34,0,0,0
0.02,5,0,508,0,548.64
0.02,5,1,198,554,446.52
0.02,5,2,126,658,412.44
0.02,5,3,104,621,373.14
0.02,5,4,72,583,322.62
0.02,5,5,48,603,305.1
0.02,5,6,55,494,266.88
0.02,5,7,29,451,220.74
0.02,5,8,41,385,205.98
0.02,5,9,14,347,160.86
0.02,5,10,11,292,134.52
0.02,5,11,4,266,116.04
0.02,5,12,12,220,105.36
0.02,5,13,3,154,67.92
0.02,5,14,2,131,57.18
0.02,5,15,6,103,49.74
0.02,5,16,1,108,46.44
0.02,5,17,0,74,31.08
0.02,5,18,0,67,28.14
0.02,5,19,0,58,24.36
0.02,5,20,0,55,23.1
0.02,5,21,1,36,16.2
0.02,5,22,0,26,10.92
0.02,5,23,0,24,10.08
0.02,5,24,0,21,8.82
0.02,5,25,0,23,9.66
0.02,5,26,0,16,6.72
0.02,5,27,0,7,2.94
0.02,5,28,0,7,2.94
0.02,5,29,0,7,2.94
0.02,5,30,0,3,1.26
0.02,5,31,0,1,0.42
0.02,5,32,0,2,0.84
0.02,5,33,0,2,0.84
0.02,5,34,0,3,1.26
0.02,5,35,0,0,0
0.02,6,0,499,0,538.92
0.02,6,1,262,428,462.72
0.02,6,2,198,502,424.68
0.02,6,3,115,553,356.46
0.02,6,4,92,594,348.84
0.02,6,5,52,586,302.28
0.02,6,6,74,503,291.18
0.02,6,7,37,539,266.34
0.02,6,8,38,494,248.52
0.02,6,9,41,446,231.6
