a,gen,avg_num_dd,avg_num_dwt,avg_d_fitness,num_replicates
0.08,0,2062.73,0,2227.7484,100
0.08,1,1818.24,647.49,2235.645,100
0.08,2,1715.91,887.1,2225.7648,100
0.08,3,1638.65,1054.97,2212.8294,100
0.08,4,1592.85,1162.06,2208.3432,100
0.08,5,1552.36,1247.62,2200.5492,100
0.08,6,1528.92,1331.57,2210.493,100
0.08,7,1515.39,1383.91,2217.8634,100
0.08,8,1506.84,1431.45,2228.5962,100
0.08,9,1494.44,1466.91,2230.0974,100
0.08,10,1501.36,1503.15,2252.7918,100
0.08,11,1511.41,1532.26,2275.872,100
0.08,12,1514.73,1575.06,2297.4336,100
0.08,13,1527.22,1588.46,2316.5508,100
0.08,14,1538.23,1622.72,2342.8308,100
0.08,15,1553.2,1634.12,2363.7864,100
0.08,16,1574.36,1654.49,2395.1946,100
0.08,17,1591.62,1669.32,2420.064,100
0.08,18,1617.08,1685.1,2454.1884,100
0.08,19,1649.12,1703.75,2496.6246,100
0.08,20,1671.23,1708.6,2522.5404,100
0.08,21,1687.13,1730.59,2548.9482,100
0.08,22,1729.19,1727.74,2593.176,100
0.08,23,1746.31,1736.59,2615.3826,100
0.08,24,1783.3,1737.65,2655.777,100
0.08,25,1804.82,1746.42,2682.7019999999998,100
0.08,26,1843.44,1760.46,2730.3084,100
0.08,27,1874.98,1758.97,2763.7458,100
0.08,28,1910.19,1766.71,2805.0234,100
0.08,29,1942.9,1764.39,2839.3758,100
0.08,30,1988.94,1766.16,2889.8424,100
0.08,31,2030.84,1780.63,2941.1718,100
0.08,32,2090.78,1772.76,3002.6016,100
0.08,33,2128.88,1784.46,3048.6636,100
0.08,34,2161.29,1784.21,3083.5614,100
0.08,35,2201.83,1781.95,3126.3954,100
0.08,36,2247.93,1792.42,3180.5808,100
0.08,37,2297.43,1792.74,3234.1752,100
0.08,38,2348.61,1793.92,3289.9452,100
0.08,39,2396.26,1803.91,3345.603,100
0.08,40,2451.76,1795.42,3401.9772,100
0.08,41,2503.26,1789.57,3455.1402,100
0.08,42,2544.87,1787.35,3499.1466,100
0.08,43,2602.65,1789.32,3562.3764,100
0.08,44,2663.55,1784.66,3626.1912,100
0.08,45,2720.16,1803.49,3695.2386,100
0.08,46,2768.33,1792.37,3742.5918,100
0.08,47,2820.11,1790.84,3797.8716,100
0.08,48,2868.96,1786.29,3848.7186,100
0.08,49,2933.51,1790.84,3920.3436,100
0.08,50,2997.1,1781.63,3985.1526,100
0.08,51,3055.62,1788.23,4051.1262,100
0.08,52,3112.33,1778.44,4108.2612,100
0.08,53,3177.72,1770.84,4175.6904,100
0.08,54,3227.08,1781.23,4233.363,100
0.08,55,3292.38,1781.09,4303.8282,100
0.08,56,3353.45,1784.46,4371.1992,100
0.08,57,3422.66,1783.8,4445.6688,100
0.08,58,3492.07,1783.61,4520.5518,100
0.08,59,3533.26,1773.61,4560.837,100
0.08,60,3587.89,1776.76,4621.1604,100
0.08,61,3637.98,1774.32,4674.2328,100
0.08,62,3711.99,1767.43,4751.2698,100
0.08,63,3780.07,1762.94,4822.9104,100
0.08,64,3847.73,1768.2,4898.1924,100
0.08,65,3910.71,1764.87,4964.8122,100
0.08,66,3995.31,1748.45,5049.2838,100
0.08,67,4068.26,1765.81,5135.361,100
0.08,68,4127.94,1758.79,5196.867,100
0.08,69,4210.35,1748.32,5281.4724,100
0.08,70,4276.64,1759.63,5357.8158,100
0.08,71,4331.63,1749.83,5413.089,100
0.08,72,4396.46,1761.67,5488.0782,100
0.08,73,4460.62,1756.89,5555.3634,100
0.08,74,4496.81,1765.9,5598.2328,100
0.08,75,4575.71,1752.05,5677.6278,100
0.08,76,4627.06,1762.21,5737.353,100
0.08,77,4690.38,1760.64,5805.0792,100
0.08,78,4755.52,1749.35,5870.6886,100
0.08,79,4834.9,1757.63,5959.8966,100
0.08,80,4911.12,1746.34,6037.4724,100
0.08,81,4962.04,1740.57,6090.0426,100
0.08,82,5018.91,1742.63,6152.3274,100
0.08,83,5084.72,1749.22,6226.17,100
0.08,84,5161.73,1745.76,6307.8876,100
0.08,85,5231.92,1749.22,6385.146,100
0.08,86,5269.81,1750.13,6426.4494,100
0.08,87,5322.63,1740.64,6479.5092,100
0.08,88,5394.04,1737.81,6555.4434,100
0.08,89,5457.39,1735.26,6622.7904,100
0.08,90,5533.68,1744.85,6709.2114,100
0.08,91,5601.15,1748.07,6783.4314,100
0.08,92,5669.6,1739.97,6853.9554,100
0.08,93,5718.03,1740.46,6906.4656,100
0.08,94,5779.72,1738.07,6972.0869999999995,100
0.08,95,5843.21,1740.8,7041.8028,100
0.08,96,5911.5,1733.47,7112.4774,100
0.08,97,5952.29,1739.17,7158.9246,100
0.08,98,6014.08,1741.98,7226.838,100
0.08,99,6083.4,1733.97,7298.3394,100
0.08,100,6140.3,1732.62,7359.2244,100
