a,gen,avg_num_dd,avg_num_dwt,avg_d_fitness,num_replicates
0.0713,0,1832.8,0,1979.424,100
0.0713,1,1565.2,646.16,1961.8032,100
0.0713,2,1454.78,891.96,1945.7856,100
0.0713,3,1373.74,1049.37,1924.3746,100
0.0713,4,1316.19,1161.28,1909.2228,100
0.0713,5,1287.87,1248.68,1915.3452,100
0.0713,6,1249.66,1317.07,1902.8022,100
0.0713,7,1228.19,1366.35,1900.3122,100
0.0713,8,1209.23,1408.08,1897.362,100
0.0713,9,1197.33,1456.53,1904.859,100
0.0713,10,1196,1485.49,1915.5858,100
0.0713,11,1193.28,1510.87,1923.3078,100
0.0713,12,1198.6,1543.61,1942.8042,100
0.0713,13,1191.38,1563.86,1943.5116,100
0.0713,14,1191.47,1583.79,1951.9794,100
0.0713,15,1192.07,1603.58,1960.9392,100
0.0713,16,1205.32,1625.35,1984.3926,100
0.0713,17,1204.25,1640.86,1989.7512,100
0.0713,18,1217.14,1647.03,2006.2638,100
0.0713,19,1227.2,1667.26,2025.6252,100
0.0713,20,1230.57,1687.11,2037.6018,100
0.0713,21,1236.3,1693.94,2046.6588,100
0.0713,22,1239.54,1703.2,2054.0472,100
0.0713,23,1242.56,1712.86,2061.366,100
0.0713,24,1249.66,1721.4,2072.6208,100
0.0713,25,1258.29,1730.45,2085.7422,100
0.0713,26,1274.1,1731.3,2103.174,100
0.0713,27,1283.17,1736.04,2114.9604,100
0.0713,28,1303.88,1740.51,2139.2046,100
0.0713,29,1314.1,1733.06,2147.1132,100
0.0713,30,1333.76,1743.38,2172.6804,100
0.0713,31,1347.81,1749.27,2190.3282,100
0.0713,32,1367.32,1752.54,2212.7724,100
0.0713,33,1383.99,1751.31,2230.2594,100
0.0713,34,1404.09,1759,2255.1972,100
0.0713,35,1414.53,1763.52,2268.3708,100
0.0713,36,1434.58,1764.03,2290.239,100
0.0713,37,1465.02,1772.45,2326.6506,100
0.0713,38,1477.38,1754.33,2332.389,100
0.0713,39,1504.72,1772.24,2369.4384,100
0.0713,40,1527.01,1770.98,2392.9824,100
0.0713,41,1549.61,1753.68,2410.1244,100
0.0713,42,1572.31,1752.96,2434.338,100
0.0713,43,1602.51,1750.36,2465.862,100
0.0713,44,1627.78,1738.16,2488.0296,100
0.0713,45,1659.07,1733.75,2519.9706,100
0.0713,46,1672.42,1724.85,2530.6506,100
0.0713,47,1697.59,1719.63,2555.6418,100
0.0713,48,1725.32,1720.78,2586.0732,100
0.0713,49,1756.58,1711.77,2616.0498,100
0.0713,50,1782.98,1715.6,2646.1704,100
0.0713,51,1805.47,1705.33,2666.1462,100
0.0713,52,1828.17,1706.67,2691.225,100
0.0713,53,1859.46,1694.94,2720.0916,100
0.0713,54,1902.74,1690.72,2765.0616,100
0.0713,55,1928.22,1681.86,2788.8588,100
0.0713,56,1958.68,1667.01,2815.5186,100
0.0713,57,1991.51,1657.85,2847.1278,100
0.0713,58,2027.74,1653.09,2884.257,100
0.0713,59,2072.83,1646.63,2930.241,100
0.0713,60,2108.93,1635.97,2964.7518,100
0.0713,61,2146.29,1617.47,2997.3306000000002,100
0.0713,62,2186.72,1603.03,3034.9302000000002,100
0.0713,63,2229.76,1606.62,3082.9212,100
0.0713,64,2263.6,1601.06,3117.1332,100
0.0713,65,2302.51,1584.19,3152.0706,100
0.0713,66,2342.74,1580.82,3194.1036,100
0.0713,67,2385.91,1577.21,3239.211,100
0.0713,68,2422.26,1557.76,3270.3,100
0.0713,69,2468.71,1547.31,3316.0769999999998,100
0.0713,70,2540.4444444444443,1555.5555555555557,3397.0133333333333,99
0.0713,71,2585.626262626263,1546.949494949495,3442.1951515151513,99
0.0713,72,2621.020202020202,1538.3131313131314,3476.7933333333335,99
0.0713,73,2662.6969696969695,1537,3521.2527272727275,99
0.0713,74,2733.4489795918366,1540.204081632653,3599.010612244898,98
0.0713,75,2787.408163265306,1529.5510204081634,3652.8122448979593,98
0.0713,76,2833.112244897959,1522.4285714285713,3699.181224489796,98
0.0713,77,2877.0510204081634,1516.4489795918366,3744.1236734693875,98
0.0713,78,2929.714285714286,1502.765306122449,3795.252857142857,98
0.0713,79,2980.7755102040815,1505.6326530612246,3851.6032653061225,98
0.0713,80,3025.8979591836733,1503.3877551020407,3899.3926530612243,98
0.0713,81,3063.530612244898,1494.7244897959183,3936.3973469387756,98
0.0713,82,3102,1481.2448979591836,3972.282857142857,98
0.0713,83,3157.622448979592,1464.6326530612246,4025.3779591836733,98
0.0713,84,3202.5408163265306,1448.1836734693877,4066.9812244897957,98
0.0713,85,3256.816326530612,1460.2755102040817,4130.677346938775,98
0.0713,86,3285.1020408163267,1445.3163265306123,4154.94306122449,98
0.0713,87,3349.938775510204,1443.0204081632653,4224.0024489795915,98
0.0713,88,3415.234693877551,1431.938775510204,4289.867755102041,98
0.0713,89,3437.204081632653,1418.6326530612246,4308.00612244898,98
0.0713,90,3570.1458333333335,1447.3333333333333,4463.6375,96
0.0713,91,3618.4479166666665,1443.4791666666667,4514.185,96
0.0713,92,3668.1458333333335,1443.21875,4567.749375,96
0.0713,93,3724.4375,1434.4583333333333,4624.865,96
0.0713,94,3780.4166666666665,1432.3020833333333,4684.416875,96
0.0713,95,3874.4736842105262,1453.0105263157895,4794.696,95
0.0713,96,3968.5425531914893,1472.5319148936171,4904.489361702128,94
0.0713,97,4063.7311827956987,1480.021505376344,5010.438709677419,93
0.0713,98,4144.413043478261,1475.5760869565217,5095.708043478261,92
0.0713,99,4184.29347826087,1480.6739130434783,5140.92,92
0.0713,100,4314.177777777778,1506.1888888888889,5291.9113333333335,90
