a,replicate,gen,num_dd,num_dwt,d_fitness
0.0611,0,0,1471,0,1588.68
0.0611,0,1,1331,645,1708.38
0.0611,0,2,1108,908,1578
0.0611,0,3,1056,1072,1590.72
0.0611,0,4,1021,1115,1570.98
0.0611,0,5,965,1200,1546.2
0.0611,0,6,994,1242,1595.16
0.0611,0,7,1001,1397,1667.82
0.0611,0,8,929,1350,1570.32
0.0611,0,9,873,1371,1518.66
0.0611,0,10,809,1315,1426.02
0.0611,0,11,834,1387,1483.26
0.0611,0,12,786,1500,1478.88
0.0611,0,13,776,1433,1439.94
0.0611,0,14,727,1427,1384.5
0.0611,0,15,652,1403,1293.42
0.0611,0,16,611,1420,1256.28
0.0611,0,17,598,1403,1235.1
0.0611,0,18,596,1439,1248.06
0.0611,0,19,595,1451,1252.02
0.0611,0,20,518,1457,1171.38
0.0611,0,21,506,1458,1158.84
0.0611,0,22,439,1469,1091.1
0.0611,0,23,442,1524,1117.44
0.0611,0,24,437,1412,1065
0.0611,0,25,364,1360,964.32
0.0611,0,26,291,1284,853.56
0.0611,0,27,234,1238,772.68
0.0611,0,28,227,1164,734.04
0.0611,0,29,189,1083,658.98
0.0611,0,30,163,1054,618.72
0.0611,0,31,130,1018,567.96
0.0611,0,32,119,866,492.24
0.0611,0,33,94,866,465.24
0.0611,0,34,69,770,397.92
0.0611,0,35,57,713,361.02
0.0611,0,36,44,674,330.6
0.0611,0,37,36,618,298.44
0.0611,0,38,27,560,264.36
0.0611,0,39,18,481,221.46
0.0611,0,40,22,381,183.78
0.0611,0,41,6,346,151.8
0.0611,0,42,5,304,133.08
0.0611,0,43,5,226,100.32
0.0611,0,44,2,183,79.02
0.0611,0,45,0,141,59.22
0.0611,0,46,1,111,47.7
0.0611,0,47,1,88,38.04
0.0611,0,48,1,67,29.22
0.0611,0,49,0,67,28.14
0.0611,0,50,0,52,21.84
0.0611,0,51,0,60,25.2
0.0611,0,52,2,42,19.8
0.0611,0,53,0,31,13.02
0.0611,0,54,0,17,7.14
0.0611,0,55,0,26,10.92
0.0611,0,56,0,30,12.6
0.0611,0,57,1,22,10.32
0.0611,0,58,0,20,8.4
0.0611,0,59,0,19,7.98
0.0611,0,60,0,10,4.2
0.0611,0,61,0,6,2.52
0.0611,0,62,0,6,2.52
0.0611,0,63,0,2,0.84
0.0611,0,64,0,1,0.42
0.0611,0,65,0,1,0.42
0.0611,0,66,0,1,0.42
0.0611,0,67,0,0,0
0.0611,1,0,1557,0,1681.56
0.0611,1,1,1384,606,1749.24
0.0611,1,2,1258,898,1735.8
0.0611,1,3,1250,1020,1778.4
0.0611,1,4,1150,1045,1680.9
0.0611,1,5,1129,1103,1682.58
0.0611,1,6,1130,1240,1741.2
0.0611,1,7,1040,1203,1628.46
0.0611,1,8,1049,1265,1664.22
0.0611,1,9,1000,1328,1637.76
0.0611,1,10,1010,1427,1690.14
0.0611,1,11,1002,1405,1672.26
0.0611,1,12,994,1456,1685.04
0.0611,1,13,950,1434,1628.28
0.0611,1,14,1031,1419,1709.46
0.0611,1,15,1031,1529,1755.66
0.0611,1,16,1064,1500,1779.12
0.0611,1,17,919,1408,1583.88
0.0611,1,18,840,1625,1589.7
0.0611,1,19,828,1603,1567.5
0.0611,1,20,743,1595,1472.34
0.0611,1,21,710,1583,1431.66
0.0611,1,22,700,1593,1425.06
0.0611,1,23,700,1552,1407.84
0.0611,1,24,661,1654,1408.56
0.0611,1,25,674,1635,1414.62
0.0611,1,26,680,1655,1429.5
0.0611,1,27,654,1606,1380.84
0.0611,1,28,597,1582,1309.2
0.0611,1,29,620,1597,1340.34
0.0611,1,30,574,1612,1296.96
0.0611,1,31,546,1649,1282.26
0.0611,1,32,524,1673,1268.58
0.0611,1,33,517,1586,1224.48
0.0611,1,34,504,1556,1197.84
0.0611,1,35,484,1503,1153.98
0.0611,1,36,433,1460,1080.84
0.0611,1,37,411,1509,1077.66
0.0611,1,38,357,1442,991.2
0.0611,1,39,341,1440,973.08
0.0611,1,40,325,1474,970.08
0.0611,1,41,303,1335,887.94
0.0611,1,42,250,1293,813.06
0.0611,1,43,206,1276,758.4
0.0611,1,44,184,1109,664.5
0.0611,1,45,160,1099,634.38
0.0611,1,46,109,1043,555.78
0.0611,1,47,98,1009,529.62
0.0611,1,48,95,861,464.22
0.0611,1,49,74,836,431.04
0.0611,1,50,59,820,408.12
0.0611,1,51,43,769,369.42
0.0611,1,52,39,702,336.96
0.0611,1,53,32,583,279.42
0.0611,1,54,20,492,228.24
0.0611,1,55,21,483,225.54
0.0611,1,56,24,446,213.24
0.0611,1,57,14,377,173.46
0.0611,1,58,5,371,161.22
0.0611,1,59,6,311,137.1
0.0611,1,60,5,263,115.86
0.0611,1,61,1,210,89.28
0.0611,1,62,3,171,75.06
0.0611,1,63,0,139,58.38
0.0611,1,64,0,103,43.26
0.0611,1,65,0,84,35.28
0.0611,1,66,0,79,33.18
0.0611,1,67,0,63,26.46
0.0611,1,68,0,68,28.56
0.0611,1,69,0,53,22.26
0.0611,1,70,0,40,16.8
0.0611,1,71,1,35,15.78
0.0611,1,72,0,30,12.6
0.0611,1,73,0,17,7.14
0.0611,1,74,0,14,5.88
0.0611,1,75,0,16,6.72
0.0611,1,76,0,17,7.14
0.0611,1,77,0,13,5.46
0.0611,1,78,0,16,6.72
0.0611,1,79,0,9,3.78
0.0611,1,80,0,7,2.94
0.0611,1,81,0,5,2.1
0.0611,1,82,0,4,1.68
0.0611,1,83,0,2,0.84
0.0611,1,84,0,2,0.84
0.0611,1,85,0,0,0
0.0611,2,0,1531,0,1653.48
0.0611,2,1,1237,560,1571.16
0.0611,2,2,1142,824,1579.44
0.0611,2,3,1114,935,1595.82
0.0611,2,4,1045,1096,1588.92
0.0611,2,5,978,1146,1537.56
0.0611,2,6,896,1247,1491.42
0.0611,2,7,893,1319,1518.42
0.0611,2,8,901,1275,1508.58
