a,sigma,k,u_hat,delta,p_increase
0.0243,0.01,0.2,0.2,9.51674e-4,0.42
0.0246,0.01,0.2,0.2,9.67741e-4,0.4
0.0249,0.01,0.2,0.2,9.83593e-4,0.44
0.0252,0.01,0.2,0.2,9.99229e-4,0.56
0.0255,0.01,0.2,0.2,0.001014648,0.5
0.0258,0.01,0.2,0.2,0.00102985,0.52
0.0261,0.01,0.2,0.2,0.001044834,0.42
0.0264,0.01,0.2,0.2,0.001059601,0.4
0.0267,0.01,0.2,0.2,0.00107415,0.54
0.027,0.01,0.2,0.2,0.001088481,0.48
0.0273,0.01,0.2,0.2,0.001102596,0.56
0.0276,0.01,0.2,0.2,0.001116494,0.44
0.0279,0.01,0.2,0.2,0.001130176,0.5
0.0282,0.01,0.2,0.2,0.001143643,0.48
0.0285,0.01,0.2,0.2,0.001156896,0.42
0.0288,0.01,0.2,0.2,0.001169936,0.52
0.0291,0.01,0.2,0.2,0.001182764,0.44
0.0294,0.01,0.2,0.2,0.001195382,0.54
0.0297,0.01,0.2,0.2,0.00120779,0.5
0.03,0.01,0.2,0.2,0.001219991,0.58
