a,sigma,beta,k,u_hat,outcome,delta
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,increase,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.013137931,0.01,1.3137931,0.2,0.2,decrease,2.7084028708190035e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.014517241,0.01,1.4517241,0.2,0.2,decrease,2.546695651780754e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,decrease,2.6411136085224e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
0.017275862,0.01,1.7275862,0.2,0.2,decrease,2.914097841741226e-4
