a,sigma,beta,k,u_hat,delta,p_increase
0.094827586,0.01,9.4827586,0.2,0.2,0.00113932316187283,1
0.098275862,0.01,9.8275862,0.2,0.2,0.00113867236823208,1
0.101724138,0.01,10.1724138,0.2,0.2,0.00113804670904792,1
0.105172414,0.01,10.5172414,0.2,0.2,0.00113746232882577,1
0.10862069,0.01,10.862069,0.2,0.2,0.00113692770540436,1
0.112068966,0.01,11.2068966,0.2,0.2,0.00113644613276413,1
0.115517241,0.01,11.5517241,0.2,0.2,0.0011360175054515,1
0.118965517,0.01,11.8965517,0.2,0.2,0.00113563958466945,1
0.122413793,0.01,12.2413793,0.2,0.2,0.0011353088850631,1
0.125862069,0.01,12.5862069,0.2,0.2,0.00113502128299745,1
0.129310345,0.01,12.9310345,0.2,0.2,0.00113477242536996,1
0.132758621,0.01,13.2758621,0.2,0.2,0.00113455799537091,1
0.136206897,0.01,13.6206897,0.2,0.2,0.00113437387740335,1
0.139655172,0.01,13.9655172,0.2,0.2,0.00113421625193029,1
0.143103448,0.01,14.3103448,0.2,0.2,0.00113408164223964,1
0.146551724,0.01,14.6551724,0.2,0.2,0.00113396692975944,1
0.15,0.01,15,0.2,0.2,0.00113386934835446,1
