a,sigma,k,u_hat,delta,p_increase
0.0231,0.01,0.2,0.2,8.85282e-4,0.14
0.0234,0.01,0.2,0.2,9.02195e-4,0.2
0.0237,0.01,0.2,0.2,9.18899e-4,0.18
0.0243,0.01,0.2,0.2,9.51674e-4,0.44
0.0246,0.01,0.2,0.2,9.67741e-4,0.32
0.0249,0.01,0.2,0.2,9.83593e-4,0.5
0.0252,0.01,0.2,0.2,9.99229e-4,0.42
0.0255,0.01,0.2,0.2,0.001014648,0.42
0.0258,0.01,0.2,0.2,0.00102985,0.6
0.0261,0.01,0.2,0.2,0.001044834,0.56
0.0264,0.01,0.2,0.2,0.001059601,0.68
0.0267,0.01,0.2,0.2,0.00107415,0.68
0.0273,0.01,0.2,0.2,0.001102596,0.74
0.0276,0.01,0.2,0.2,0.001116494,0.8
0.0279,0.01,0.2,0.2,0.001130176,0.86
0.0282,0.01,0.2,0.2,0.001143643,0.94
0.0285,0.01,0.2,0.2,0.001156896,0.84
0.0288,0.01,0.2,0.2,0.001169936,0.96
0.0291,0.01,0.2,0.2,0.001182764,0.98
0.0294,0.01,0.2,0.2,0.001195382,0.94
0.0297,0.01,0.2,0.2,0.00120779,0.96
0.03,0.01,0.2,0.2,0.001219991,0.96
0.055138462,0.01,0.2,0.2,0.001716753,1
0.079976923,0.01,0.2,0.2,0.00179005,1
0.104815385,0.01,0.2,0.2,0.001798919,1
0.129653846,0.01,0.2,0.2,0.001799889,1
0.154492308,0.01,0.2,0.2,0.001799989,1
0.179330769,0.01,0.2,0.2,0.001799999,1
0.204169231,0.01,0.2,0.2,0.0018,1
0.229007692,0.01,0.2,0.2,0.0018,1
0.253846154,0.01,0.2,0.2,0.0018,1
0.278684615,0.01,0.2,0.2,0.0018,1
0.303523077,0.01,0.2,0.2,0.0018,1
0.328361538,0.01,0.2,0.2,0.0018,1
0.3532,0.01,0.2,0.2,0.0018,1
0.378038462,0.01,0.2,0.2,0.0018,1
0.402876923,0.01,0.2,0.2,0.0018,1
0.427715385,0.01,0.2,0.2,0.0018,1
0.452553846,0.01,0.2,0.2,0.0018,1
0.477392308,0.01,0.2,0.2,0.0018,1
0.502230769,0.01,0.2,0.2,0.0018,1
0.527069231,0.01,0.2,0.2,0.0018,1
0.551907692,0.01,0.2,0.2,0.0018,1
0.576746154,0.01,0.2,0.2,0.0018,1
0.601584615,0.01,0.2,0.2,0.0018,1
0.626423077,0.01,0.2,0.2,0.0018,1
0.651261538,0.01,0.2,0.2,0.0018,1
0.6761,0.01,0.2,0.2,0.0018,1
0.700938462,0.01,0.2,0.2,0.0018,1
0.725776923,0.01,0.2,0.2,0.0018,1
0.750615385,0.01,0.2,0.2,0.0018,1
0.775453846,0.01,0.2,0.2,0.0018,1
0.800292308,0.01,0.2,0.2,0.0018,1
0.825130769,0.01,0.2,0.2,0.0018,1
0.849969231,0.01,0.2,0.2,0.0018,1
0.874807692,0.01,0.2,0.2,0.0018,1
0.899646154,0.01,0.2,0.2,0.0018,1
0.924484615,0.01,0.2,0.2,0.0018,1
0.949323077,0.01,0.2,0.2,0.0018,1
0.974161538,0.01,0.2,0.2,0.0018,1
0.999,0.01,0.2,0.2,0.0018,1
