a,sigma,beta,k,u_hat,delta_correct
0,0.01,0,0.2,0.2,0
4.210526315789474e-4,0.01,0.042105263157894736,0.2,0.2,-3.158196716238705e-5
8.421052631578948e-4,0.01,0.08421052631578947,0.2,0.2,-5.9062310277786995e-5
0.0012631578947368421,0.01,0.12631578947368421,0.2,0.2,-8.25993609783692e-5
0.0016842105263157896,0.01,0.16842105263157894,0.2,0.2,-1.0235556015480442e-4
0.002105263157894737,0.01,0.21052631578947367,0.2,0.2,-1.1849602673398921e-4
0.0025263157894736842,0.01,0.25263157894736843,0.2,0.2,-1.311873039762726e-4
0.0029473684210526317,0.01,0.2947368421052632,0.2,0.2,-1.405962657172288e-4
0.003368421052631579,0.01,0.3368421052631579,0.2,0.2,-1.4688916656021732e-4
0.0037894736842105266,0.01,0.37894736842105264,0.2,0.2,-1.502308214714693e-4
0.004210526315789474,0.01,0.42105263157894735,0.2,0.2,-1.5078390155096044e-4
0.0046315789473684215,0.01,0.46315789473684216,0.2,0.2,-1.4870833395972793e-4
0.0050526315789473685,0.01,0.5052631578947369,0.2,0.2,-1.441607950877135e-4
0.005473684210526316,0.01,0.5473684210526316,0.2,0.2,-1.3729428705380655e-4
0.005894736842105263,0.01,0.5894736842105264,0.2,0.2,-1.2825778855002443e-4
0.006315789473684211,0.01,0.6315789473684211,0.2,0.2,-1.1719597188174571e-4
0.006736842105263158,0.01,0.6736842105263158,0.2,0.2,-1.0424897882251732e-4
0.007157894736842105,0.01,0.7157894736842105,0.2,0.2,-8.955224860137268e-5
0.007578947368421053,0.01,0.7578947368421053,0.2,0.2,-7.323639197843318e-5
0.008,0.01,0.8,0.2,0.2,-5.5427105946028246e-5
0.009,0.01,0.8999999999999999,0.2,0.2,-7.840313573606594e-6
0.01,0.01,1,0.2,0.2,4.5995175609039526e-5
0.01020202,0.01,1.0202019999999998,0.2,0.2,5.7506774358322826e-5
0.01037931,0.01,1.037931,0.2,0.2,6.776534823313245e-5
0.01040404,0.01,1.0404039999999999,0.2,0.2,6.920749154202752e-5
0.010606061,0.01,1.0606061,0.2,0.2,8.108727620552252e-5
0.010808081,0.01,1.0808081,0.2,0.2,9.313614774645804e-5
0.011010101,0.01,1.1010100999999999,0.2,0.2,1.0534454619906715e-4
0.011212121,0.01,1.1212121,0.2,0.2,1.1770309510439857e-4
0.011414141,0.01,1.1414141,0.2,0.2,1.302026570300513e-4
0.011616162,0.01,1.1616161999999999,0.2,0.2,1.4283439345860217e-4
0.011758621,0.01,1.1758621,0.2,0.2,1.5181662558766754e-4
0.011818182,0.01,1.1818182,0.2,0.2,1.5558951097830592e-4
0.012020202,0.01,1.2020202,0.2,0.2,1.6845963338522896e-4
0.012222222,0.01,1.2222222,0.2,0.2,1.8143654898310387e-4
0.012424242,0.01,1.2424242,0.2,0.2,1.9451226953006405e-4
0.012626263,0.01,1.2626263,0.2,0.2,2.0767909230997618e-4
