a,sigma,beta,k,u_hat,delta,p_increase,delta_correct
0.009,0.01,0.8999999999999999,0.2,0.2,5.931485161302532e-4,0,-7.840313573606594e-6
0.01,0.01,1,0.2,0.2,4.631828058151509e-4,0.02,4.5995175609039526e-5
0.01020202,0.01,1.0202019999999998,0.2,0.2,4.418495980863548e-4,0,5.7506774358322826e-5
0.01037931,0.01,1.037931,0.2,0.2,4.2435871234734247e-4,0.02,6.776534823313245e-5
0.01040404,0.01,1.040404,0.2,0.2,4.2200768775997567e-4,0,6.920749154202752e-5
0.010606061,0.01,1.0606061,0.2,0.2,4.0359203412044376e-4,0,8.108727620552252e-5
0.010808081,0.01,1.0808081,0.2,0.2,3.865404543078555e-4,0,9.313614774645804e-5
0.011010101,0.01,1.1010101,0.2,0.2,3.707929729325148e-4,0,1.0534454619906715e-4
0.011212121,0.01,1.1212121,0.2,0.2,3.562920938483152e-4,0,1.1770309510439857e-4
0.011414141,0.01,1.1414141,0.2,0.2,3.429826101361384e-4,0,1.302026570300513e-4
0.011616162,0.01,1.1616162,0.2,0.2,3.308114551887733e-4,0,1.4283439345860217e-4
0.011758621,0.01,1.1758621,0.2,0.2,3.2288547810878826e-4,0.02,1.5181662558766754e-4
0.011818182,0.01,1.1818182,0.2,0.2,3.197278504332363e-4,0,1.5558951097830592e-4
0.012020202,0.01,1.2020202,0.2,0.2,3.096828602691756e-4,0.02,1.6845963338522896e-4
0.012222222,0.01,1.2222222,0.2,0.2,3.0062955791210883e-4,0.02,1.8143654898310387e-4
0.012424242,0.01,1.2424242,0.2,0.2,2.925228852191322e-4,0.02,1.9451226953006405e-4
0.012626263,0.01,1.2626263,0.2,0.2,2.853195452275441e-4,0,2.0767909230997618e-4
0.012828283,0.01,1.2828282999999998,0.2,0.2,2.789780693510502e-4,0,2.209293356080569e-4
0.013030303,0.01,1.3030303,0.2,0.2,2.734585357311519e-4,0.02,2.3425572641152387e-4
0.013137931,0.01,1.3137931,0.2,0.2,2.7084028708190035e-4,0,2.4138410809106982e-4
0.013232323,0.01,1.3232323,0.2,0.2,2.6872265085497136e-4,0,2.4765113666970137e-4
0.013434343,0.01,1.3434343,0.2,0.2,2.6473364912834967e-4,0.02,2.6110864477687547e-4
0.013636364,0.01,1.3636364,0.2,0.2,2.614562183371867e-4,0,2.7462159908992444e-4
0.013838384,0.01,1.3838384,0.2,0.2,2.5885650341438295e-4,0,2.8818334657833636e-4
0.014040404,0.01,1.4040404,0.2,0.2,2.569019541072103e-4,0,3.01787630676887e-4
0.014242424,0.01,1.4242424,0.2,0.2,2.5556134018315163e-4,0.04,3.154283204288358e-4
0.014444444,0.01,1.4444444,0.2,0.2,2.5480468260526606e-4,0,3.290994737021359e-4
0.014517241,0.01,1.4517241,0.2,0.2,2.546695651780754e-4,0,3.340321631496203e-4
0.014646465,0.01,1.4646465,0.2,0.2,2.5460320504345845e-4,0.06,3.427954014952484e-4
0.014848485,0.01,1.4848485,0.2,0.2,2.549292882394623e-4,0,3.565103930961832e-4
0.015050505,0.01,1.5050505,0.2,0.2,2.5575641925026097e-4,0.02,3.7023911936301564e-4
