a,sigma,beta,k,u_hat,delta_correct
0.011212121,0.01,1.1212121,0.2,0.1,4.490952245843217e-4
0.011212121,0.01,1.1212121,0.2,0.1,4.490952245843217e-4
0.011363636,0.01,1.1363636,0.2,0.1,4.615236240506342e-4
0.011363636,0.01,1.1363636,0.2,0.1,4.615236240506342e-4
0.011515152,0.01,1.1515152,0.2,0.1,4.7399616861629537e-4
0.011515152,0.01,1.1515152,0.2,0.1,4.7399616861629537e-4
0.011666667,0.01,1.1666667,0.2,0.1,4.8650925353811887e-4
0.011818182,0.01,1.1818182,0.2,0.1,4.99059593644928e-4
0.011818182,0.01,1.1818182,0.2,0.1,4.99059593644928e-4
0.011969697,0.01,1.1969697,0.2,0.1,5.116438935380465e-4
0.011969697,0.01,1.1969697,0.2,0.1,5.116438935380465e-4
0.012121212,0.01,1.2121212,0.2,0.1,5.242589289666637e-4
0.012121212,0.01,1.2121212,0.2,0.1,5.242589289666637e-4
0.012272727,0.01,1.2272727,0.2,0.1,5.369015460163808e-4
0.012272727,0.01,1.2272727,0.2,0.1,5.369015460163808e-4
0.012424242,0.01,1.2424242,0.2,0.1,5.495686602886383e-4
0.012424242,0.01,1.2424242,0.2,0.1,5.495686602886383e-4
0.012575758,0.01,1.2575758,0.2,0.1,5.622573398812031e-4
0.012575758,0.01,1.2575758,0.2,0.1,5.622573398812031e-4
0.012727273,0.01,1.2727273000000001,0.2,0.1,5.74964469428384e-4
0.012727273,0.01,1.2727273000000001,0.2,0.1,5.74964469428384e-4
0.012878788,0.01,1.2878788,0.2,0.1,5.876872517568948e-4
0.012878788,0.01,1.2878788,0.2,0.1,5.876872517568948e-4
0.013030303,0.01,1.3030303,0.2,0.1,6.004228721778367e-4
0.013181818,0.01,1.3181817999999998,0.2,0.1,6.131685813117061e-4
0.013181818,0.01,1.3181817999999998,0.2,0.1,6.131685813117061e-4
0.013333333,0.01,1.3333332999999998,0.2,0.1,6.259216942324092e-4
0.013333333,0.01,1.3333332999999998,0.2,0.1,6.259216942324092e-4
0.013484848,0.01,1.3484848,0.2,0.1,6.386795896080131e-4
0.013484848,0.01,1.3484848,0.2,0.1,6.386795896080131e-4
0.013636364,0.01,1.3636363999999999,0.2,0.1,6.514397930579823e-4
0.013636364,0.01,1.3636363999999999,0.2,0.1,6.514397930579823e-4
0.013787879,0.01,1.3787878999999998,0.2,0.1,6.641996394052795e-4
0.013787879,0.01,1.3787878999999998,0.2,0.1,6.641996394052795e-4
0.013939394,0.01,1.3939394,0.2,0.1,6.769567771379627e-4
0.013939394,0.01,1.3939394,0.2,0.1,6.769567771379627e-4
0.014090909,0.01,1.4090909,0.2,0.1,6.897088306720839e-4
0.014090909,0.01,1.4090909,0.2,0.1,6.897088306720839e-4
0.014242424,0.01,1.4242424,0.2,0.1,7.024534836993397e-4
0.014393939,0.01,1.4393939,0.2,0.1,7.151884783230134e-4
0.014393939,0.01,1.4393939,0.2,0.1,7.151884783230134e-4
0.014545455,0.01,1.4545455,0.2,0.1,7.279116981240997e-4
0.014545455,0.01,1.4545455,0.2,0.1,7.279116981240997e-4
0.01469697,0.01,1.469697,0.2,0.1,7.406208314852409e-4
0.01469697,0.01,1.469697,0.2,0.1,7.406208314852409e-4
0.014848485,0.01,1.4848485,0.2,0.1,7.533138745895538e-4
0.014848485,0.01,1.4848485,0.2,0.1,7.533138745895538e-4
0.015,0.01,1.5,0.2,0.1,7.659887945782838e-4
0.015,0.01,1.5,0.2,0.1,7.659887945782838e-4
0.015151515,0.01,1.5151515,0.2,0.1,7.786436127117137e-4
0.015151515,0.01,1.5151515,0.2,0.1,7.786436127117137e-4
0.01530303,0.01,1.530303,0.2,0.1,7.912764035193417e-4
0.01530303,0.01,1.530303,0.2,0.1,7.912764035193417e-4
0.015454545,0.01,1.5454545,0.2,0.1,8.038852939538689e-4
0.015454545,0.01,1.5454545,0.2,0.1,8.038852939538689e-4
0.015606061,0.01,1.5606061,0.2,0.1,8.16468545509522e-4
0.015606061,0.01,1.5606061,0.2,0.1,8.16468545509522e-4
0.015757576,0.01,1.5757575999999998,0.2,0.1,8.290242213567882e-4
0.015757576,0.01,1.5757575999999998,0.2,0.1,8.290242213567882e-4
0.015909091,0.01,1.5909091,0.2,0.1,8.415506838215445e-4
0.015909091,0.01,1.5909091,0.2,0.1,8.415506838215445e-4
0.016060606,0.01,1.6060606000000002,0.2,0.1,8.540462611780174e-4
0.016060606,0.01,1.6060606000000002,0.2,0.1,8.540462611780174e-4
0.016212121,0.01,1.6212121,0.2,0.1,8.665093299627981e-4
0.016212121,0.01,1.6212121,0.2,0.1,8.665093299627981e-4
0.016363636,0.01,1.6363636000000001,0.2,0.1,8.789383141588059e-4
0.016363636,0.01,1.6363636000000001,0.2,0.1,8.789383141588059e-4
0.016515152,0.01,1.6515152000000002,0.2,0.1,8.913317660603458e-4
0.016515152,0.01,1.6515152000000002,0.2,0.1,8.913317660603458e-4
0.016666667,0.01,1.6666667,0.2,0.1,9.036880385175534e-4
0.016666667,0.01,1.6666667,0.2,0.1,9.036880385175534e-4
0.016818182,0.01,1.6818182000000002,0.2,0.1,9.160057749314082e-4
0.016818182,0.01,1.6818182000000002,0.2,0.1,9.160057749314082e-4
0.016969697,0.01,1.6969697,0.2,0.1,9.282835810306596e-4
0.016969697,0.01,1.6969697,0.2,0.1,9.282835810306596e-4
0.017121212,0.01,1.7121212,0.2,0.1,9.405201060031614e-4
0.017121212,0.01,1.7121212,0.2,0.1,9.405201060031614e-4
0.017272727,0.01,1.7272727,0.2,0.1,9.527140417187399e-4
0.017272727,0.01,1.7272727,0.2,0.1,9.527140417187399e-4
0.017424242,0.01,1.7424241999999999,0.2,0.1,9.648641219589249e-4
0.017424242,0.01,1.7424241999999999,0.2,0.1,9.648641219589249e-4
0.017575758,0.01,1.7575758,0.2,0.1,9.769692013960225e-4
0.017575758,0.01,1.7575758,0.2,0.1,9.769692013960225e-4
0.017727273,0.01,1.7727273000000001,0.2,0.1,9.8902793556176e-4
0.017727273,0.01,1.7727273000000001,0.2,0.1,9.8902793556176e-4
0.017878788,0.01,1.7878787999999999,0.2,0.1,0.0010010392594697326
0.017878788,0.01,1.7878787999999999,0.2,0.1,0.0010010392594697326
0.018030303,0.01,1.8030303,0.2,0.1,0.0010130020669961402
0.018030303,0.01,1.8030303,0.2,0.1,0.0010130020669961402
0.018181818,0.01,1.8181817999999998,0.2,0.1,0.0010249152901906748
0.018181818,0.01,1.8181817999999998,0.2,0.1,0.0010249152901906748
0.018333333,0.01,1.8333333,0.2,0.1,0.001036777898552041
0.018333333,0.01,1.8333333,0.2,0.1,0.001036777898552041
0.018484848,0.01,1.8484848,0.2,0.1,0.0010485888983116018
0.018484848,0.01,1.8484848,0.2,0.1,0.0010485888983116018
0.018636364,0.01,1.8636363999999999,0.2,0.1,0.0010603474091551747
0.018636364,0.01,1.8636363999999999,0.2,0.1,0.0010603474091551747
0.018787879,0.01,1.8787879,0.2,0.1,0.0010720523534458112
0.018787879,0.01,1.8787879,0.2,0.1,0.0010720523534458112
0.018939394,0.01,1.8939393999999998,0.2,0.1,0.0010837029211753918
0.018939394,0.01,1.8939393999999998,0.2,0.1,0.0010837029211753918
0.019090909,0.01,1.9090909,0.2,0.1,0.0010952982585035638
0.019090909,0.01,1.9090909,0.2,0.1,0.0010952982585035638
0.019242424,0.01,1.9242424,0.2,0.1,0.0011068375448623977
0.019242424,0.01,1.9242424,0.2,0.1,0.0011068375448623977
0.019393939,0.01,1.9393938999999998,0.2,0.1,0.0011183199922892677
0.019393939,0.01,1.9393938999999998,0.2,0.1,0.0011183199922892677
0.019545455,0.01,1.9545455,0.2,0.1,0.0011297449199803022
0.019545455,0.01,1.9545455,0.2,0.1,0.0011297449199803022
0.01969697,0.01,1.969697,0.2,0.1,0.0011411114524028897
0.01969697,0.01,1.969697,0.2,0.1,0.0011411114524028897
0.019848485,0.01,1.9848484999999998,0.2,0.1,0.0011524189710855476
0.019848485,0.01,1.9848484999999998,0.2,0.1,0.0011524189710855476
0.02,0.01,2,0.2,0.1,0.0011636668119817464
0.02,0.01,2,0.2,0.1,0.0011636668119817464
