a,replicate,gen,num_dd
0.02,7,1,270
0.02,7,2,203
0.02,7,3,144
0.02,7,4,115
0.02,7,5,94
0.02,7,6,81
0.02,7,7,52
0.02,7,8,51
0.02,7,9,40
0.02,7,10,22
0.02,7,11,19
0.02,7,12,22
0.02,7,13,10
0.02,7,14,13
0.02,7,15,15
0.02,7,16,5
0.02,7,17,4
0.02,7,18,3
0.02,7,19,2
0.02,7,20,4
0.02,7,21,1
0.02,7,22,0
0.02,7,23,0
0.02,7,24,0
0.02,7,25,0
0.02,7,26,0
0.02,7,27,0
0.02,7,28,0
0.02,7,29,0
0.02,7,30,0
0.02,7,31,0
0.02,7,32,0
0.02,7,33,0
0.02,7,34,0
0.02,7,35,0
0.02,7,36,0
0.02,7,37,0
0.02,7,38,0
0.02,7,39,0
0.02,7,40,0
0.02,7,41,0
0.02,7,42,0
0.02,7,43,0
0.02,8,0,540
0.02,8,1,275
0.02,8,2,190
0.02,8,3,114
0.02,8,4,75
0.02,8,5,57
0.02,8,6,58
0.02,8,7,60
0.02,8,8,52
0.02,8,9,54
0.02,8,10,30
0.02,8,11,26
0.02,8,12,6
0.02,8,13,3
0.02,8,14,8
0.02,8,15,6
0.02,8,16,3
0.02,8,17,0
0.02,8,18,1
0.02,8,19,0
0.02,8,20,3
0.02,8,21,0
0.02,8,22,0
0.02,8,23,0
0.02,8,24,1
0.02,8,25,0
0.02,8,26,0
0.02,8,27,0
0.02,8,28,0
0.02,8,29,0
0.02,8,30,0
0.02,8,31,0
0.02,8,32,0
0.02,8,33,0
0.02,8,34,0
0.02,8,35,0
0.02,8,36,0
0.02,8,37,0
0.02,8,38,0
0.02,8,39,0
0.02,8,40,0
0.02,9,0,475
0.02,9,1,227
0.02,9,2,168
0.02,9,3,138
0.02,9,4,110
0.02,9,5,92
0.02,9,6,84
0.02,9,7,58
0.02,9,8,47
0.02,9,9,31
0.02,9,10,25
0.02,9,11,18
0.02,9,12,13
0.02,9,13,7
0.02,9,14,2
0.02,9,15,8
0.02,9,16,4
0.02,9,17,0
0.02,9,18,1
0.02,9,19,2
0.02,9,20,1
0.02,9,21,0
0.02,9,22,0
0.02,9,23,0
0.02,9,24,0
0.02,9,25,0
0.02,9,26,0
0.02,9,27,0
0.02,9,28,0
0.02,9,29,0
0.02,9,30,0
0.02,9,31,0
0.02,9,32,0
0.02,9,33,0
0.02,10,0,497
0.02,10,1,208
0.02,10,2,156
0.02,10,3,86
0.02,10,4,47
0.02,10,5,33
0.02,10,6,33
0.02,10,7,15
0.02,10,8,24
0.02,10,9,16
0.02,10,10,7
0.02,10,11,5
0.02,10,12,7
0.02,10,13,4
0.02,10,14,2
0.02,10,15,3
0.02,10,16,0
0.02,10,17,0
0.02,10,18,0
0.02,10,19,1
0.02,10,20,0
0.02,10,21,0
0.02,10,22,0
0.02,10,23,0
0.02,10,24,0
0.02,10,25,0
0.02,10,26,0
0.02,10,27,0
0.02,10,28,0
0.02,10,29,0
0.02,10,30,0
0.02,10,31,0
0.02,10,32,0
0.02,10,33,0
0.02,10,34,0
0.02,10,35,0
0.02,10,36,0
0.02,10,37,0
0.02,10,38,0
0.02,10,39,0
0.02,10,40,0
0.02,11,0,486
0.02,11,1,212
0.02,11,2,141
0.02,11,3,114
0.02,11,4,78
0.02,11,5,49
0.02,11,6,29
0.02,11,7,34
0.02,11,8,17
0.02,11,9,18
0.02,11,10,13
0.02,11,11,11
0.02,11,12,4
0.02,11,13,8
0.02,11,14,6
0.02,11,15,1
0.02,11,16,2
0.02,11,17,1
0.02,11,18,0
0.02,11,19,1
0.02,11,20,2
0.02,11,21,0
0.02,11,22,0
0.02,11,23,0
0.02,11,24,0
0.02,11,25,0
0.02,11,26,0
0.02,11,27,0
0.02,11,28,0
0.02,11,29,0
0.02,11,30,0
0.02,11,31,0
0.02,11,32,0
0.02,12,0,478
0.02,12,1,268
0.02,12,2,169
0.02,12,3,144
0.02,12,4,102
0.02,12,5,63
0.02,12,6,57
0.02,12,7,32
0.02,12,8,27
0.02,12,9,14
0.02,12,10,14
0.02,12,11,13
0.02,12,12,9
0.02,12,13,2
0.02,12,14,1
0.02,12,15,2
0.02,12,16,2
0.02,12,17,2
0.02,12,18,0
0.02,12,19,0
0.02,12,20,0
0.02,12,21,0
0.02,12,22,0
0.02,12,23,0
0.02,12,24,0
0.02,12,25,0
0.02,12,26,0
0.02,12,27,0
0.02,12,28,0
0.02,12,29,0
0.02,12,30,0
0.02,12,31,0
0.02,12,32,0
0.02,12,33,0
0.02,12,34,0
0.02,12,35,0
0.02,12,36,0
0.02,12,37,0
0.02,12,38,0
0.02,12,39,0
0.02,12,40,0
0.02,13,0,539
0.02,13,1,221
0.02,13,2,211
0.02,13,3,157
0.02,13,4,111
0.02,13,5,93
0.02,13,6,58
0.02,13,7,65
0.02,13,8,62
0.02,13,9,45
0.02,13,10,32
0.02,13,11,12
0.02,13,12,25
0.02,13,13,8
0.02,13,14,10
0.02,13,15,3
0.02,13,16,1
0.02,13,17,1
0.02,13,18,0
0.02,13,19,1
0.02,13,20,0
0.02,13,21,2
0.02,13,22,0
0.02,13,23,0
0.02,13,24,1
0.02,13,25,0
0.02,13,26,0
0.02,13,27,0
0.02,13,28,0
0.02,13,29,0
0.02,13,30,0
0.02,13,31,0
0.02,13,32,0
0.02,13,33,0
0.02,13,34,0
0.02,13,35,0
0.02,13,36,0
0.02,13,37,0
0.02,13,38,0
0.02,13,39,0
0.02,13,40,0
0.02,13,41,0
0.02,13,42,0
0.02,13,43,0
0.02,13,44,0
0.02,13,45,0
0.02,13,46,0
0.02,13,47,0
0.02,13,48,0
0.02,14,0,515
0.02,14,1,285
0.02,14,2,164
0.02,14,3,116
0.02,14,4,65
0.02,14,5,70
0.02,14,6,38
0.02,14,7,44
0.02,14,8,30
0.02,14,9,19
0.02,14,10,11
0.02,14,11,7
0.02,14,12,5
0.02,14,13,6
0.02,14,14,6
0.02,14,15,2
0.02,14,16,5
0.02,14,17,2
0.02,14,18,2
0.02,14,19,0
0.02,14,20,3
0.02,14,21,0
0.02,14,22,0
0.02,14,23,0
0.02,14,24,0
0.02,14,25,0
0.02,14,26,0
0.02,14,27,0
0.02,14,28,0
0.02,14,29,0
0.02,14,30,0
0.02,14,31,0
0.02,14,32,0
0.02,15,0,558
0.02,15,1,295
0.02,15,2,229
0.02,15,3,166
0.02,15,4,170
0.02,15,5,110
0.02,15,6,67
0.02,15,7,66
0.02,15,8,57
0.02,15,9,36
0.02,15,10,25
0.02,15,11,13
0.02,15,12,12
0.02,15,13,14
0.02,15,14,5
0.02,15,15,8
0.02,15,16,0
0.02,15,17,3
0.02,15,18,1
0.02,15,19,0
0.02,15,20,1
0.02,15,21,0
0.02,15,22,0
0.02,15,23,0
0.02,15,24,1
0.02,15,25,0
0.02,15,26,0
0.02,15,27,0
0.02,15,28,0
0.02,15,29,0
0.02,15,30,0
0.02,15,31,0
