m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
575,0,-45,decrease
575,1,-7,decrease
575,2,-100,decrease
575,3,-33,decrease
575,4,-27,decrease
575,5,-83,decrease
575,6,-51,decrease
575,7,-66,decrease
575,8,-62,decrease
575,9,-19,decrease
575,10,21,decrease
575,11,47,decrease
575,12,23,increase
575,13,-108,decrease
575,14,-46,decrease
575,15,-31,decrease
575,16,-66,decrease
575,17,81,decrease
575,18,73,decrease
575,19,20,decrease
