m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
275,0,29,decrease
275,1,87,decrease
275,2,-80,decrease
275,3,-48,decrease
275,4,25,decrease
275,5,-54,decrease
275,6,96,decrease
275,7,-3,decrease
275,8,-28,decrease
275,9,80,decrease
275,10,10,decrease
275,11,28,decrease
275,12,-8,decrease
275,13,28,decrease
275,14,28,decrease
275,15,-65,decrease
275,16,6,decrease
275,17,-23,decrease
275,18,-6,decrease
275,19,23,decrease
