m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
500,0,-76,decrease
500,1,28,decrease
500,2,-11,decrease
500,3,-15,decrease
500,4,137,decrease
500,5,22,decrease
500,6,-52,decrease
500,7,32,decrease
500,8,52,decrease
500,9,-5,decrease
500,10,-89,decrease
500,11,25,decrease
500,12,-27,decrease
500,13,27,decrease
500,14,90,decrease
500,15,23,decrease
500,16,-24,decrease
500,17,54,decrease
500,18,3,decrease
500,19,82,decrease
