m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
750,0,-330,decrease
750,1,-86,decrease
750,2,-28,decrease
750,3,24,increase
750,4,-197,decrease
750,5,6,increase
750,6,-317,decrease
750,7,114,increase
750,8,-332,decrease
750,9,-9,increase
750,10,-101,decrease
750,11,94,increase
750,12,-49,decrease
750,13,-324,decrease
750,14,-9,decrease
750,15,47,increase
750,16,-38,decrease
750,17,76,increase
750,18,52,increase
750,19,-359,decrease
