m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
250,0,-13,decrease
250,1,11,decrease
250,2,-46,decrease
250,3,-85,decrease
250,4,-51,decrease
250,5,-24,decrease
250,6,8,decrease
250,7,-1,decrease
250,8,-29,decrease
250,9,-4,decrease
250,10,-51,decrease
250,11,-68,decrease
250,12,5,decrease
250,13,-39,decrease
250,14,-54,decrease
250,15,5,decrease
250,16,-11,decrease
250,17,10,decrease
250,18,-64,decrease
250,19,-46,decrease
