m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
800,0,-470,decrease
800,1,-47,increase
800,2,12,increase
800,3,-37,increase
800,4,5,decrease
800,5,29,increase
800,6,17,increase
800,7,-425,decrease
800,8,18,increase
800,9,207,increase
800,10,66,increase
800,11,-3,increase
800,12,-11,increase
800,13,53,increase
800,14,15,increase
800,15,92,increase
800,16,-11,increase
800,17,68,increase
800,18,43,increase
800,19,31,increase
