m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
550,0,-75,decrease
550,1,66,decrease
550,2,2,decrease
550,3,-69,decrease
550,4,32,increase
550,5,-12,decrease
550,6,45,decrease
550,7,23,decrease
550,8,-51,decrease
550,9,12,decrease
550,10,-32,decrease
550,11,63,decrease
550,12,9,decrease
550,13,18,decrease
550,14,20,decrease
550,15,-36,decrease
550,16,89,increase
550,17,24,decrease
550,18,-75,decrease
550,19,34,decrease
