m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
225,0,-69,decrease
225,1,20,decrease
225,2,-9,decrease
225,3,4,decrease
225,4,14,decrease
225,5,-95,decrease
225,6,-11,decrease
225,7,-19,decrease
225,8,-7,decrease
225,9,13,decrease
225,10,-2,decrease
225,11,-37,decrease
225,12,-41,decrease
225,13,-15,decrease
225,14,-38,decrease
225,15,-15,decrease
225,16,25,decrease
225,17,-7,decrease
225,18,-9,decrease
225,19,8,decrease
