m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
875,0,44,increase
875,1,90,increase
875,2,-500,decrease
875,3,84,increase
875,4,86,increase
875,5,216,increase
875,6,-575,decrease
875,7,-6,increase
875,8,89,increase
875,9,122,increase
875,10,-662,decrease
875,11,81,increase
875,12,-587,decrease
875,13,-507,decrease
875,14,-68,increase
875,15,13,increase
875,16,46,increase
875,17,-587,decrease
875,18,-15,increase
875,19,245,increase
