m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
850,0,-21,increase
850,1,-416,decrease
850,2,23,increase
850,3,-576,decrease
850,4,66,increase
850,5,-65,increase
850,6,-499,decrease
850,7,-558,decrease
850,8,-32,increase
850,9,-53,increase
850,10,-127,increase
850,11,-30,increase
850,12,-131,increase
850,13,-510,decrease
850,14,-109,increase
850,15,51,increase
850,16,-527,decrease
850,17,-541,decrease
850,18,28,increase
850,19,-318,decrease
