m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
350,0,-39,decrease
350,1,55,decrease
350,2,48,decrease
350,3,-62,decrease
350,4,10,decrease
350,5,-57,decrease
350,6,16,decrease
350,7,-34,decrease
350,8,-66,decrease
350,9,-44,decrease
350,10,-4,decrease
350,11,-16,decrease
350,12,88,decrease
350,13,-20,decrease
350,14,-4,decrease
350,15,-75,decrease
350,16,-58,decrease
350,17,56,decrease
350,18,-26,decrease
350,19,49,decrease
