m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
925,0,-16,increase
925,1,-63,increase
925,2,-125,increase
925,3,-80,increase
925,4,148,increase
925,5,22,increase
925,6,44,increase
925,7,106,increase
925,8,102,increase
925,9,-659,decrease
925,10,-23,increase
925,11,25,increase
925,12,-20,increase
925,13,-100,increase
925,14,34,increase
925,15,-25,increase
925,16,42,increase
925,17,0,increase
925,18,53,increase
925,19,-11,increase
