m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
525,0,-19,decrease
525,1,-9,decrease
525,2,82,decrease
525,3,47,decrease
525,4,-50,decrease
525,5,40,decrease
525,6,-40,decrease
525,7,23,decrease
525,8,-72,decrease
525,9,-60,decrease
525,10,-30,decrease
525,11,-24,decrease
525,12,65,decrease
525,13,-31,decrease
525,14,-40,decrease
525,15,-148,decrease
525,16,-3,decrease
525,17,-8,decrease
525,18,-4,decrease
525,19,36,decrease
