m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
675,0,-278,decrease
675,1,-220,decrease
675,2,-67,decrease
675,3,-72,increase
675,4,-88,decrease
675,5,-48,decrease
675,6,2,decrease
675,7,-165,decrease
675,8,-201,decrease
675,9,-3,decrease
675,10,-69,decrease
675,11,-4,decrease
675,12,-128,decrease
675,13,84,decrease
675,14,-150,decrease
675,15,14,decrease
675,16,-8,decrease
675,17,-20,decrease
675,18,28,decrease
675,19,23,increase
