m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
650,0,71,decrease
650,1,19,increase
650,2,22,increase
650,3,-27,increase
650,4,-168,decrease
650,5,-51,decrease
650,6,-54,decrease
650,7,-198,decrease
650,8,-37,decrease
650,9,-79,decrease
650,10,54,increase
650,11,2,decrease
650,12,21,decrease
650,13,-47,increase
650,14,88,increase
650,15,-144,decrease
650,16,10,increase
650,17,29,decrease
650,18,9,decrease
650,19,-80,decrease
