m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
950,0,-149,increase
950,1,-75,increase
950,2,80,increase
950,3,51,increase
950,4,-564,decrease
950,5,-82,increase
950,6,42,increase
950,7,-19,increase
950,8,-36,increase
950,9,-652,decrease
950,10,47,increase
950,11,-50,increase
950,12,22,increase
950,13,86,increase
950,14,-576,decrease
950,15,13,increase
950,16,0,increase
950,17,-607,decrease
950,18,-15,increase
950,19,-60,increase
