m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
975,0,-574,decrease
975,1,-30,increase
975,2,-42,increase
975,3,-717,decrease
975,4,-109,increase
975,5,-1,increase
975,6,115,increase
975,7,-120,increase
975,8,-551,decrease
975,9,-81,increase
975,10,13,increase
975,11,-34,increase
975,12,134,increase
975,13,0,increase
975,14,-634,decrease
975,15,71,increase
975,16,35,increase
975,17,-87,increase
975,18,122,increase
975,19,-33,increase
