m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
425,0,-36,decrease
425,1,-75,decrease
425,2,78,decrease
425,3,25,decrease
425,4,-11,decrease
425,5,-64,decrease
425,6,-36,decrease
425,7,9,decrease
425,8,2,decrease
425,9,-50,decrease
425,10,-15,decrease
425,11,101,decrease
425,12,2,decrease
425,13,-65,decrease
425,14,-15,decrease
425,15,32,decrease
425,16,-67,decrease
425,17,-58,decrease
425,18,-43,decrease
425,19,23,decrease
