m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
200,0,-24,decrease
200,1,14,decrease
200,2,-14,decrease
200,3,1,decrease
200,4,-22,decrease
200,5,7,decrease
200,6,-13,decrease
200,7,-41,decrease
200,8,-11,decrease
200,9,-28,decrease
200,10,41,decrease
200,11,-16,decrease
200,12,50,decrease
200,13,-6,decrease
200,14,4,decrease
200,15,-4,decrease
200,16,-37,decrease
200,17,-25,decrease
200,18,52,decrease
200,19,-52,decrease
