m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
375,0,-18,decrease
375,1,-26,decrease
375,2,-51,decrease
375,3,-38,decrease
375,4,-96,decrease
375,5,39,decrease
375,6,-97,decrease
375,7,25,decrease
375,8,-43,decrease
375,9,40,decrease
375,10,-25,decrease
375,11,-19,decrease
375,12,30,decrease
375,13,72,decrease
375,14,-25,decrease
375,15,-40,decrease
375,16,80,decrease
375,17,-63,decrease
375,18,-7,decrease
375,19,-62,decrease
