m, replicate_number,gen10_to_gen11_change,outcome_after_100_gens
400,0,-48,decrease
400,1,-61,decrease
400,2,-30,decrease
400,3,1,decrease
400,4,-8,decrease
400,5,-63,decrease
400,6,12,decrease
400,7,-56,decrease
400,8,8,decrease
400,9,65,decrease
400,10,-103,decrease
400,11,20,decrease
400,12,-8,decrease
400,13,3,decrease
400,14,-47,decrease
400,15,-78,decrease
400,16,-47,decrease
400,17,-69,decrease
400,18,43,decrease
400,19,61,decrease
