x1, x2, x_midpoint,time_point,n_dd, n_dwt, n_wtwt, exp_n_dd, exp_n_dwt, exp_n_wt
0.0,0.01,0.005,after_dispersal,0.0,0.0,230.0,0.0,0.0,300.0
0.01,0.02,0.015,after_dispersal,0.0,0.0,229.0,0.0,0.0,300.0
0.02,0.03,0.025,after_dispersal,0.0,0.0,247.0,0.0,0.0,300.0
0.03,0.04,0.035,after_dispersal,0.0,0.0,263.0,0.0,0.0,300.0
0.04,0.05,0.045,after_dispersal,0.0,0.0,270.0,0.0,0.0,300.0
0.05,0.06,0.055,after_dispersal,0.0,0.0,273.0,0.0,0.0,300.0
0.06,0.07,0.065,after_dispersal,0.0,0.0,247.0,0.0,0.0,300.0
0.07,0.08,0.075,after_dispersal,0.0,0.0,267.0,0.0,0.0,300.0
0.08,0.09,0.085,after_dispersal,0.0,0.0,229.0,0.0,0.0,300.0
0.09,0.1,0.095,after_dispersal,0.0,0.0,214.0,0.0,0.0,300.0
0.1,0.11,0.105,after_dispersal,0.0,0.0,211.0,0.0,0.0,300.0
0.11,0.12,0.115,after_dispersal,0.0,0.0,235.0,5.5189e-318,0.0,300.0
0.12,0.13,0.125,after_dispersal,0.0,0.0,261.0,1.72823e-301,0.0,300.0
0.13,0.14,0.135,after_dispersal,0.0,0.0,215.0,2.02534e-285,0.0,300.0
0.14,0.15,0.145,after_dispersal,0.0,0.0,219.0,8.73172e-270,0.0,300.0
0.15,0.16,0.155,after_dispersal,0.0,0.0,219.0,1.38486e-254,0.0,300.0
0.16,0.17,0.165,after_dispersal,0.0,0.0,245.0,8.08014e-240,0.0,300.0
0.17,0.18,0.175,after_dispersal,0.0,0.0,235.0,1.73435e-225,0.0,300.0
0.18,0.19,0.185,after_dispersal,0.0,0.0,237.0,1.36949e-211,0.0,300.0
0.19,0.2,0.195,after_dispersal,0.0,0.0,268.0,3.97822e-198,0.0,300.0
0.2,0.21,0.205,after_dispersal,0.0,0.0,251.0,4.25132e-185,0.0,300.0
0.21,0.22,0.215,after_dispersal,0.0,0.0,303.0,1.67134e-172,0.0,300.0
0.22,0.23,0.225,after_dispersal,0.0,0.0,270.0,2.41718e-160,0.0,300.0
0.23,0.24,0.235,after_dispersal,0.0,0.0,234.0,1.28606e-148,0.0,300.0
0.24,0.25,0.245,after_dispersal,0.0,0.0,251.0,2.51719e-137,0.0,300.0
0.25,0.26,0.255,after_dispersal,0.0,0.0,207.0,1.8125e-126,0.0,300.0
0.26,0.27,0.265,after_dispersal,0.0,0.0,221.0,4.80116e-116,0.0,300.0
