x1, x2, x_midpoint,time_point,n_dd, n_dwt, n_wtwt, exp_n_dd, exp_n_dwt, exp_n_wt
0.766667,0.8,0.783333,after_reproduction,0.0,0.0,54870.0,0.0,3.81031e-170,1000.0
0.8,0.833333,0.816667,after_reproduction,0.0,0.0,59790.0,0.0,1.41746e-213,1000.0
0.833333,0.866667,0.85,after_reproduction,0.0,0.0,56370.0,0.0,7.88079e-262,1000.0
0.866667,0.9,0.883333,after_reproduction,0.0,0.0,65700.0,0.0,6.54818e-315,1000.0
0.9,0.933333,0.916667,after_reproduction,0.0,0.0,60240.0,0.0,0.0,1000.0
0.933333,0.966667,0.95,after_reproduction,0.0,0.0,53850.0,0.0,0.0,1000.0
0.966667,1.0,0.983333,after_reproduction,0.0,0.0,55050.0,0.0,0.0,1000.0
0.0,0.0333333,0.0166667,after_viability,0.0,0.0,24360.0,0.0,0.0,1000.0
0.0333333,0.0666667,0.05,after_viability,0.0,0.0,23670.0,0.0,0.0,1000.0
0.0666667,0.1,0.0833333,after_viability,0.0,0.0,27960.0,0.0,0.0,1000.0
0.1,0.133333,0.116667,after_viability,0.0,0.0,26070.0,0.0,6.02432e-315,1000.0
0.133333,0.166667,0.15,after_viability,0.0,0.0,24540.0,0.0,7.25033e-262,1000.0
0.166667,0.2,0.183333,after_viability,0.0,0.0,21690.0,0.0,1.30407e-213,1000.0
0.2,0.233333,0.216667,after_viability,0.0,0.0,24420.0,0.0,3.50549e-170,1000.0
0.233333,0.266667,0.25,after_viability,0.0,0.0,22050.0,7.26425e-266,1.40832e-131,1000.0
0.266667,0.3,0.283333,after_viability,0.0,0.0,27480.0,2.61885e-198,8.45594e-98,1000.0
0.3,0.333333,0.316667,after_viability,0.0,0.0,25230.0,2.10883e-140,7.588e-69,1000.0
0.333333,0.366667,0.35,after_viability,0.0,0.0,25440.0,3.793e-92,1.01765e-44,1000.0
0.366667,0.4,0.383333,after_viability,0.0,0.0,23880.0,1.52383e-53,2.03974e-25,1000.0
0.4,0.433333,0.416667,after_viability,0.0,0.0,23160.0,1.36742e-24,6.11024e-11,1000.0
0.433333,0.466667,0.45,after_viability,0.0,270.0,21900.0,2.74047e-05,0.273522,999.875
0.466667,0.5,0.483333,after_viability,9240.0,11970.0,14970.0,9459.57,1411.06,77.0909
0.5,0.533333,0.516667,after_viability,10350.0,12540.0,15720.0,9459.57,1411.06,77.0909
0.533333,0.566667,0.55,after_viability,60.0,240.0,21840.0,2.74047e-05,0.273522,999.875
0.566667,0.6,0.583333,after_viability,0.0,0.0,23130.0,1.36742e-24,6.11024e-11,1000.0
0.6,0.633333,0.616667,after_viability,0.0,0.0,26880.0,1.52383e-53,2.03974e-25,1000.0
0.633333,0.666667,0.65,after_viability,0.0,0.0,22140.0,3.793e-92,1.01765e-44,1000.0
0.666667,0.7,0.683333,after_viability,0.0,0.0,22140.0,2.10883e-140,7.588e-69,1000.0
0.7,0.733333,0.716667,after_viability,0.0,0.0,23070.0,2.61885e-198,8.45594e-98,1000.0
0.733333,0.766667,0.75,after_viability,0.0,0.0,19980.0,7.26425e-266,1.40832e-131,1000.0
0.766667,0.8,0.783333,after_viability,0.0,0.0,20400.0,0.0,3.50549e-170,1000.0
0.8,0.833333,0.816667,after_viability,0.0,0.0,23190.0,0.0,1.30407e-213,1000.0
0.833333,0.866667,0.85,after_viability,0.0,0.0,21240.0,0.0,7.25033e-262,1000.0
0.866667,0.9,0.883333,after_viability,0.0,0.0,24330.0,0.0,6.02432e-315,1000.0
0.9,0.933333,0.916667,after_viability,0.0,0.0,21930.0,0.0,0.0,1000.0
0.933333,0.966667,0.95,after_viability,0.0,0.0,19920.0,0.0,0.0,1000.0
0.966667,1.0,0.983333,after_viability,0.0,0.0,20490.0,0.0,0.0,1000.0
