gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
173,30036,43,1377,28616,1463,0.0243541
174,29984,62,1410,28512,1534,0.0255803
175,30202,46,1525,28631,1617,0.0267698
176,30134,40,1360,28734,1440,0.0238933
177,29906,22,1383,28501,1427,0.0238581
178,29974,37,1303,28634,1377,0.0229699
179,30010,42,1335,28633,1419,0.0236421
180,29855,32,1259,28564,1323,0.0221571
181,30010,20,1283,28707,1323,0.0220427
182,29852,40,1258,28554,1338,0.0224106
183,30115,29,1270,28816,1328,0.0220488
184,29898,41,1205,28652,1287,0.0215232
185,30135,24,1211,28900,1259,0.0208893
186,30174,30,1221,28923,1281,0.0212269
187,30038,43,1235,28760,1321,0.0219888
188,29959,14,1246,28699,1274,0.0212624
189,29925,36,1205,28684,1277,0.0213367
190,29951,27,1200,28724,1254,0.0209342
191,29968,25,1184,28759,1234,0.0205886
