a,sigma,k,u_hat,delta,outcome
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.02,0.01,0.2,0.1,0.001163667,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
0.03,0.01,0.2,0.1,0.001760247,increase
